scenario,material,T_supply_C,T_return_C,roughness_mm,n_active_edges,total_pipe_length_km,dp_critical_path_kPa,V_dot_total_m3_s,P_pump_design_kW,P_pump_dissipated_kW,thermal_losses_kW,heat_delivered_MW,E_pump_design_MWh,E_pump_dissipated_MWh,E_thermal_loss_MWh,E_delivered_MWh,E_total_MWh,fraction_pump_design_pct,fraction_pump_dissipated_pct,fraction_thermal_loss_pct,fraction_delivered_pct,max_velocity_m_s,mean_velocity_m_s,pct_turbulent,pct_laminar
unrenovated,steel_new,90,65,0.045000000000000005,1257,66.18325999999999,1066.048613666859,0.5819979786494753,861.7196365224823,370.55823714073796,1657.927983,59.192462349462716,7548.664015936946,3246.0901573528645,14523.44913108,518525.9701812934,540598.0833283103,1.396354195239085,0.6052801300839729,2.6865520946103265,95.9170937101506,3.256789282657483,1.0326068754804325,99.84089101034208,0.0
renovated,steel_new,50,25,0.045000000000000005,1134,63.59111,1182.89320138473,0.36131540276910756,593.6076854043927,245.45756349409888,616.297252,37.49875035207208,5200.00332414248,2150.208256208306,5398.76392752,328489.0530841514,339087.8203358139,1.5335270134423236,0.6398705189670789,1.592143274911308,96.87432971164637,2.9339960991055536,0.9508864296829306,98.2363315696649,0.0
booster,steel_new,50,25,0.045000000000000005,1134,63.59111,1163.9208774112763,0.3742880526498355,605.0578870066034,244.44457737813767,635.729346,38.84510358128417,5300.3070901778465,2141.3344978324862,5568.9890709599995,340283.10737204936,351152.40353318723,1.5094036198664142,0.6153376206105765,1.5859179703531998,96.90467840978039,2.949510469688503,0.9700189144017252,99.91181657848325,0.0
unrenovated,pvc_pe,90,65,0.007,1257,66.18325999999999,886.8796682306194,0.5819979786494753,716.8919086326913,309.6025894310382,1657.927983,59.192462349462716,6279.973119622376,2712.1186834158943,14523.44913108,518525.9701812934,539329.3924319957,1.164404018721123,0.506217503697925,2.6928718024414486,96.14272417883743,3.256789282657483,1.0326068754804325,99.84089101034208,0.0
renovated,pvc_pe,50,25,0.007,1134,63.59111,1027.383134511367,0.36131540276910756,515.5685431168928,212.69341701103835,616.297252,37.49875035207208,4516.3804377039805,1863.1943330166957,5398.76392752,328489.0530841514,338404.1974493754,1.3346112346551557,0.5549333494349199,1.5953596226676956,97.07002914267716,2.9339960991055536,0.9508864296829306,98.2363315696649,0.0
booster,pvc_pe,50,25,0.007,1134,63.59111,1009.3679508137856,0.3742880526498355,524.7143954406204,211.80083026358196,635.729346,38.84510358128417,4596.498104059834,1855.375273108978,5568.9890709599995,340283.10737204936,350448.59454706917,1.311604091322008,0.5336023594637557,1.5891029833227148,97.09929292535529,2.949510469688503,0.9700189144017252,99.91181657848325,0.0
