building_usage,npv_per_nfa
office,-18.3312586747135
education,-73.87427282731221
trade,-94.7569927258681
health,-95.76129290626443
mfh,-99.61311007232564
other,-109.6965967340116
ab,-129.11129546547164
th,-141.83112051486916
sfh,-162.70383107607927
