building_usage,savings_npv_25years_ir_0.05
sfh,-18398.137154926655
th,-24820.80852722482
mfh,-41356.98148619659
other,-53367.04216478117
ab,-60279.029701148545
education,-74692.80069331062
office,-100486.37178155413
health,-113392.43568645255
trade,-155955.92666579608
