,south G(i) [kWh/m2],east G(i) [kWh/m2],north G(i) [kWh/m2],west G(i) [kWh/m2],T2m
0,0.0,0.0,0.0,0.0,4.5
1,0.0,0.0,0.0,0.0,4.2
2,0.0,0.0,0.0,0.0,3.9
3,0.0,0.0,0.0,0.0,3.8
4,0.0,0.0,0.0,0.0,3.7
5,0.0,0.0,0.0,0.0,3.5
6,0.0,0.0,0.0,0.0,3.1
7,0.0,0.0,0.0,0.0,2.7
8,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994,2.7
9,52.7049269117364,54.796324023264276,19.63561215799244,19.63561215799244,3.1
10,82.64314682579958,69.38576137368284,40.669449636536655,40.669449636536655,4.0
11,71.56760388421878,57.732749899392786,49.087165613878966,49.087165613878966,3.5
12,77.7189798256096,57.33729396382458,54.5177709884437,54.5177709884437,3.3
13,63.58415926529197,49.29481910291642,49.29481910291642,51.16744037554439,3.0
14,38.51503405403652,34.600221439764184,34.600221439764184,36.14656167359823,3.5
15,13.536966038282646,13.536966038282646,13.536966038282646,13.536966038282646,3.9
16,1.0663441149925765,1.0663441149925765,1.0663441149925765,1.0663441149925765,4.0
17,0.0,0.0,0.0,0.0,3.9
18,0.0,0.0,0.0,0.0,3.8
19,0.0,0.0,0.0,0.0,3.9
20,0.0,0.0,0.0,0.0,3.6
21,0.0,0.0,0.0,0.0,3.6
22,0.0,0.0,0.0,0.0,3.6
23,0.0,0.0,0.0,0.0,3.4
24,0.0,0.0,0.0,0.0,3.4
25,0.0,0.0,0.0,0.0,3.6
26,0.0,0.0,0.0,0.0,3.8
27,0.0,0.0,0.0,0.0,3.7
28,0.0,0.0,0.0,0.0,3.5
29,0.0,0.0,0.0,0.0,3.7
30,0.0,0.0,0.0,0.0,3.7
31,0.0,0.0,0.0,0.0,3.4
32,0.12499999999999999,0.12499999999999999,0.12499999999999999,0.12499999999999999,3.6
33,6.477095447589991,6.477095447589991,6.477095447589991,6.477095447589991,3.8
34,53.076585419082804,47.285396463414685,34.538756519393765,34.538756519393765,4.7
35,22.86679031059913,22.86679031059913,22.86679031059913,22.86679031059913,4.7
36,25.066191072407577,25.066191072407577,25.066191072407577,25.066191072407577,5.2
37,22.857173167313555,22.857173167313555,22.857173167313555,22.857173167313555,5.4
38,15.712911660782963,15.712911660782963,15.712911660782963,15.712911660782963,5.0
39,6.452218663223685,6.452218663223685,6.452218663223685,6.452218663223685,4.6
40,0.5325120311803765,0.5325120311803765,0.5325120311803765,0.5325120311803765,5.0
41,0.0,0.0,0.0,0.0,4.6
42,0.0,0.0,0.0,0.0,4.6
43,0.0,0.0,0.0,0.0,5.2
44,0.0,0.0,0.0,0.0,5.9
45,0.0,0.0,0.0,0.0,6.0
46,0.0,0.0,0.0,0.0,6.2
47,0.0,0.0,0.0,0.0,6.2
48,0.0,0.0,0.0,0.0,6.4
49,0.0,0.0,0.0,0.0,6.3
50,0.0,0.0,0.0,0.0,6.2
51,0.0,0.0,0.0,0.0,5.9
52,0.0,0.0,0.0,0.0,6.0
53,0.0,0.0,0.0,0.0,5.8
54,0.0,0.0,0.0,0.0,6.0
55,0.0,0.0,0.0,0.0,6.2
56,0.12499999999999999,0.12499999999999999,0.12499999999999999,0.12499999999999999,6.6
57,6.4768420987355615,6.4768420987355615,6.4768420987355615,6.4768420987355615,7.1
58,16.284854904545902,16.284854904545902,16.284854904545902,16.284854904545902,6.7
59,22.866366940671707,22.866366940671707,22.866366940671707,22.866366940671707,7.2
60,25.619027845908313,25.619027845908313,25.619027845908313,25.619027845908313,6.7
61,65.23434021014768,50.30150303823203,50.30150303823203,52.20289853274216,6.2
62,40.08379230183905,35.63599117911894,35.63599117911894,37.37753391296932,4.8
63,14.633389309061194,14.633389309061194,14.633389309061194,14.633389309061194,5.0
64,2.6758329898343227,2.6758329898343227,2.6758329898343227,2.6758329898343227,4.6
65,0.0,0.0,0.0,0.0,4.6
66,0.0,0.0,0.0,0.0,4.3
67,0.0,0.0,0.0,0.0,4.0
68,0.0,0.0,0.0,0.0,5.0
69,0.0,0.0,0.0,0.0,4.0
70,0.0,0.0,0.0,0.0,4.0
71,0.0,0.0,0.0,0.0,4.2
72,0.0,0.0,0.0,0.0,3.8
73,0.0,0.0,0.0,0.0,2.6
74,0.0,0.0,0.0,0.0,2.6
75,0.0,0.0,0.0,0.0,2.4
76,0.0,0.0,0.0,0.0,1.5
77,0.0,0.0,0.0,0.0,2.5
78,0.0,0.0,0.0,0.0,2.7
79,0.0,0.0,0.0,0.0,2.1
80,0.37499999999999994,0.37499999999999994,0.37499999999999994,0.37499999999999994,2.3
81,25.04293152491755,25.854830538957003,14.740798091617956,14.740798091617956,2.7
82,55.479170074340416,49.378332191124315,35.496644374791245,35.496644374791245,3.1
83,73.2566627078141,59.17380993108547,50.075513846561044,50.075513846561044,3.4
84,79.1690712419016,58.55335211045243,55.52918193488699,55.52918193488699,2.9
85,66.02563374142052,50.80743209801799,50.80743209801799,52.71762291272533,2.9
86,40.850786892574064,36.15508195849771,36.15508195849771,37.98605571681347,3.9
87,6.4524156633996155,6.4524156633996155,6.4524156633996155,6.4524156633996155,3.8
88,0.5325788708853805,0.5325788708853805,0.5325788708853805,0.5325788708853805,3.1
89,0.0,0.0,0.0,0.0,3.3
90,0.0,0.0,0.0,0.0,3.1
91,0.0,0.0,0.0,0.0,3.4
92,0.0,0.0,0.0,0.0,3.2
93,0.0,0.0,0.0,0.0,3.8
94,0.0,0.0,0.0,0.0,2.9
95,0.0,0.0,0.0,0.0,3.0
96,0.0,0.0,0.0,0.0,2.8
97,0.0,0.0,0.0,0.0,2.4
98,0.0,0.0,0.0,0.0,1.9
99,0.0,0.0,0.0,0.0,2.3
100,0.0,0.0,0.0,0.0,1.3
101,0.0,0.0,0.0,0.0,1.9
102,0.0,0.0,0.0,0.0,1.8
103,0.0,0.0,0.0,0.0,1.6
