,south G(i) [kWh/m2],south_east G(i) [kWh/m2],east G(i) [kWh/m2],north_east G(i) [kWh/m2],north G(i) [kWh/m2],north_west G(i) [kWh/m2],west G(i) [kWh/m2],south_west G(i) [kWh/m2]
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,38.48,55.84,45.49,13.5,6.38,6.38,6.38,6.38
104,47.43,50.61,45.27,27.36,27.36,27.36,27.36,37.59
105,266.04,275.78,168.09,55.18,55.18,55.18,55.18,144.58
106,67.78,67.26,64.89,48.79,48.79,48.79,48.79,66.16
107,59.25,59.25,45.14,45.14,45.14,45.14,59.25,59.25
108,53.27,53.27,40.58,40.58,40.58,40.58,53.27,53.27
109,27.53,27.53,20.98,20.98,20.98,20.98,27.53,27.53
110,18.55,18.55,14.14,14.14,14.14,14.14,18.55,18.55
111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,37.93,55.1,45.0,13.54,6.38,6.38,6.38,6.38
128,457.21,575.4,379.51,25.99,25.99,25.99,25.99,94.16
129,502.14,525.15,280.86,47.42,47.42,47.42,47.42,225.3
130,784.67,682.31,219.11,40.58,40.58,40.58,40.58,466.25
131,844.99,591.17,37.39,37.39,37.39,37.39,99.81,641.46
132,845.25,441.07,28.73,28.73,28.73,28.73,296.93,785.55
133,380.88,154.09,45.14,45.14,45.14,45.14,253.15,421.91
134,335.13,40.86,20.52,20.52,20.52,20.52,319.84,450.69
135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,5.98,5.98,5.98,5.98,4.56,4.56,4.56,4.56
152,94.37,109.17,84.95,31.92,31.92,31.92,31.92,49.21
153,341.49,356.15,206.62,54.72,54.72,54.72,54.72,171.22
154,144.32,136.19,99.04,65.21,65.21,65.21,65.21,118.66
155,972.42,672.77,18.24,18.24,18.24,18.24,87.78,730.11
156,112.99,95.09,58.82,58.82,58.82,58.82,88.61,110.3
157,24.54,24.54,18.7,18.7,18.7,18.7,24.54,24.54
158,5.98,5.98,4.56,4.56,4.56,4.56,5.98,5.98
159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,5.39,5.39,5.39,5.39,4.1,4.1,4.1,4.1
176,270.52,335.25,230.76,33.29,33.29,33.29,33.29,74.49
177,76.71,77.66,68.35,45.6,45.6,45.6,45.6,66.06
178,36.51,36.51,36.51,27.82,27.82,27.82,27.82,36.51
179,137.0,121.48,67.03,67.03,67.03,67.03,90.93,124.34
180,126.47,102.77,60.19,60.19,60.19,60.19,94.07,122.87
181,22.74,22.74,17.33,17.33,17.33,17.33,22.74,22.74
182,14.36,14.36,10.94,10.94,10.94,10.94,14.36,14.36
183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
