,time,G(i),H_sun,T2m,WS10m,Int
109,20150105:1310,27.53,13.32,1.87,9.17,0.0
110,20150105:1410,18.55,7.28,1.57,9.08,0.0
111,20150105:1510,0.0,0.0,1.28,8.99,0.0
112,20150105:1610,0.0,0.0,1.28,8.57,0.0
113,20150105:1710,0.0,0.0,1.29,8.15,0.0
114,20150105:1810,0.0,0.0,1.3,7.72,0.0
115,20150105:1910,0.0,0.0,1.28,7.38,0.0
116,20150105:2010,0.0,0.0,1.26,7.03,0.0
117,20150105:2110,0.0,0.0,1.24,6.69,0.0
118,20150105:2210,0.0,0.0,1.14,6.39,0.0
119,20150105:2310,0.0,0.0,1.04,6.09,0.0
120,20150106:0010,0.0,0.0,0.94,5.79,0.0
121,20150106:0110,0.0,0.0,0.81,5.48,0.0
122,20150106:0210,0.0,0.0,0.69,5.16,0.0
123,20150106:0310,0.0,0.0,0.56,4.84,0.0
124,20150106:0410,0.0,0.0,0.39,4.53,0.0
125,20150106:0510,0.0,0.0,0.22,4.23,0.0
126,20150106:0610,0.0,0.0,0.05,3.92,0.0
127,20150106:0710,6.38,2.69,0.35,3.85,0.0
128,20150106:0810,25.99,9.77,0.66,3.79,0.0
129,20150106:0910,47.42,15.16,0.96,3.72,0.0
130,20150106:1010,40.58,18.43,1.33,3.57,0.0
131,20150106:1110,99.81,19.25,1.7,3.41,0.0
132,20150106:1210,296.93,17.53,2.07,3.26,0.0
133,20150106:1310,253.15,13.47,1.33,2.76,0.0
134,20150106:1410,319.84,7.43,0.59,2.27,0.0
135,20150106:1510,0.0,0.0,-0.14,1.78,0.0
136,20150106:1610,0.0,0.0,-1.04,1.89,0.0
137,20150106:1710,0.0,0.0,-1.93,1.99,0.0
138,20150106:1810,0.0,0.0,-2.82,2.1,0.0
139,20150106:1910,0.0,0.0,-3.62,2.08,0.0
140,20150106:2010,0.0,0.0,-4.42,2.06,0.0
141,20150106:2110,0.0,0.0,-5.22,2.04,0.0
142,20150106:2210,0.0,0.0,-6.13,1.81,0.0
143,20150106:2310,0.0,0.0,-7.05,1.58,0.0
144,20150107:0010,0.0,0.0,-7.96,1.35,0.0
145,20150107:0110,0.0,0.0,-7.17,2.17,0.0
146,20150107:0210,0.0,0.0,-6.39,3.0,0.0
147,20150107:0310,0.0,0.0,-5.6,3.82,0.0
148,20150107:0410,0.0,0.0,-5.53,4.11,0.0
149,20150107:0510,0.0,0.0,-5.46,4.41,0.0
150,20150107:0610,0.0,0.0,-5.39,4.7,0.0
151,20150107:0710,4.56,2.74,-4.61,4.56,0.0
152,20150107:0810,31.92,9.84,-3.82,4.42,0.0
153,20150107:0910,54.72,15.25,-3.03,4.28,0.0
154,20150107:1010,65.21,18.53,-1.66,4.09,0.0
155,20150107:1110,87.78,19.37,-0.29,3.9,0.0
156,20150107:1210,88.61,17.67,1.08,3.71,0.0
157,20150107:1310,24.54,13.62,1.13,3.39,0.0
158,20150107:1410,5.98,7.58,1.18,3.07,0.0
159,20150107:1510,0.0,0.0,1.23,2.74,0.0
160,20150107:1610,0.0,0.0,1.12,2.52,0.0
161,20150107:1710,0.0,0.0,1.02,2.3,0.0
162,20150107:1810,0.0,0.0,0.92,2.08,0.0
163,20150107:1910,0.0,0.0,1.01,1.78,0.0
164,20150107:2010,0.0,0.0,1.11,1.48,0.0
165,20150107:2110,0.0,0.0,1.2,1.17,0.0
166,20150107:2210,0.0,0.0,0.88,0.98,0.0
167,20150107:2310,0.0,0.0,0.56,0.79,0.0
168,20150108:0010,0.0,0.0,0.24,0.59,0.0
169,20150108:0110,0.0,0.0,-0.65,0.97,0.0
170,20150108:0210,0.0,0.0,-1.54,1.35,0.0
171,20150108:0310,0.0,0.0,-2.43,1.72,0.0
172,20150108:0410,0.0,0.0,-2.55,1.89,0.0
173,20150108:0510,0.0,0.0,-2.67,2.05,0.0
174,20150108:0610,0.0,0.0,-2.79,2.21,0.0
175,20150108:0710,4.1,2.79,-1.91,2.38,0.0
176,20150108:0810,33.29,9.91,-1.03,2.56,0.0
177,20150108:0910,45.6,15.34,-0.15,2.73,0.0
178,20150108:1010,27.82,18.65,0.91,3.0,0.0
179,20150108:1110,90.93,19.51,1.98,3.27,0.0
180,20150108:1210,94.07,17.82,3.04,3.54,0.0
181,20150108:1310,22.74,13.78,2.75,3.55,0.0
182,20150108:1410,14.36,7.74,2.46,3.55,0.0
183,20150108:1510,0.0,0.17,2.17,3.56,1.0
184,20150108:1610,0.0,0.0,2.08,3.3,0.0
185,20150108:1710,0.0,0.0,1.99,3.03,0.0
186,20150108:1810,0.0,0.0,1.91,2.77,0.0
187,20150108:1910,0.0,0.0,1.89,2.67,0.0
188,20150108:2010,0.0,0.0,1.88,2.57,0.0
189,20150108:2110,0.0,0.0,1.86,2.47,0.0
190,20150108:2210,0.0,0.0,2.74,2.75,0.0
191,20150108:2310,0.0,0.0,3.62,3.04,0.0
192,20150109:0010,0.0,0.0,4.5,3.32,0.0
193,20150109:0110,0.0,0.0,5.09,5.02,0.0
194,20150109:0210,0.0,0.0,5.67,6.72,0.0
195,20150109:0310,0.0,0.0,6.26,8.41,0.0
196,20150109:0410,0.0,0.0,5.63,6.91,0.0
197,20150109:0510,0.0,0.0,5.01,5.4,0.0
198,20150109:0610,0.0,0.0,4.38,3.89,0.0
199,20150109:0710,7.3,2.85,4.66,4.4,0.0
200,20150109:0810,19.15,9.99,4.95,4.9,0.0
201,20150109:0910,57.0,15.44,5.23,5.41,0.0
202,20150109:1010,25.08,18.77,5.74,5.08,0.0
203,20150109:1110,96.12,19.65,6.26,4.74,0.0
