,0
0,5532106.823338714
1,4718492.098579617
2,4043696.419278195
3,3486876.8251582496
4,3029793.3587511107
5,2656567.0582791334
6,2353452.4263987737
7,2108621.846373679
8,1911960.9663328468
9,1754875.1210427326
10,1630107.4522929261
11,1531569.6037109545
12,1454185.8017382068
13,1393750.8908974924
14,1346802.5564360924
15,1310507.610715648
16,1282561.890454227
17,1261103.0397889956
18,1244635.252605907
19,1231964.9181797535
