,full_id,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price
0,w24853838,trade,3368360.1466045496,3742622.385116166,4210450.183255686,nr2,-3348345.6544234445,-7650221.825691025,-4301876.17126758,0.15518481969912612
1,w24853840,trade,270688.823253195,300765.35917021666,338361.0290664937,nr2,-269080.4146802653,-614788.6370493063,-345708.222369041,0.15518481969912612
2,w24853841,trade,1189609.3568609958,1321788.1742899953,1487011.6960762446,nr2,-1182540.805359618,-2701841.5697259167,-1519300.7643662987,0.15518481969912612
3,w25538793,trade,112752.73275817276,125280.81417574751,140940.91594771593,nr2,-112082.76618988243,-256084.0823159606,-144001.3161260782,0.15518481969912612
4,w27689586,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-237810.76229807615,-543344.4667558465,-305533.70445777033,0.15518481969912612
5,w28994179,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-599022.1773719828,-1368631.8583477295,-769609.6809757467,0.15518481969912612
6,w28994181,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-322223.83647163026,-736209.4840108814,-413985.64753925113,0.15518481969912612
7,w29249266,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-2681222.719186811,-6125994.9488081,-3444772.2296212893,0.15518481969912612
8,w30213059,ab,354664.9280794791,394072.1423105323,443331.1600993488,r2,-377254.4652624112,-861901.2882809949,-484646.82301858364,0.15518481969912612
9,w50930444,other,1082817.2797117848,1203130.310790872,1353521.599639731,nr2,-1076383.2771006913,-2459295.3324296083,-1382912.055328917,0.15518481969912612
10,w50930445,other,664237.6418930636,738041.8243256261,830297.0523663294,nr2,-660290.8017360022,-1508616.978080057,-848326.1763440549,0.15518481969912612
11,w50930458,other,337265.1957843652,374739.10642707243,421581.49473045644,nr2,-335261.1964107266,-765996.9390257784,-430735.74261505186,0.15518481969912612
12,w50930471,other,805986.2955036239,895540.3283373598,1007482.8693795298,nr2,-801197.1976318609,-1830556.6152969846,-1029359.4176651237,0.15518481969912612
13,w50930472,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-1052175.1966627964,-2403985.2765280004,-1351810.079865204,0.15518481969912612
14,w50930478,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-676855.7965650925,-1546464.290772088,-869608.4942069956,0.15518481969912612
15,w50930479,other,605573.605365519,672859.5615172433,756967.0067068987,nr2,-601975.3416222878,-1375379.1789454962,-773403.8373232085,0.15518481969912612
16,w50930480,other,571805.8128687943,635339.7920764381,714757.2660859928,nr2,-568408.1943028851,-1298685.7459632014,-730277.5516603163,0.15518481969912612
17,w50930481,other,219388.45256825408,243764.94729806008,274235.5657103176,nr2,-218084.8661708855,-498275.20071869576,-280190.33454781026,0.15518481969912612
18,w50930482,other,231580.2187222324,257311.35413581377,289475.2734027905,nr2,-230204.1899500161,-525965.1481902885,-295760.95824027236,0.15518481969912612
19,w50930483,other,154144.6310888841,171271.81232098234,192680.78886110513,nr2,-153228.71759406448,-350093.3895854329,-196864.6719913684,0.15518481969912612
20,w50930486,trade,106076.66272902593,117862.95858780658,132595.82841128242,nr2,-105446.36476669909,-240921.3875850231,-135475.022818324,0.15518481969912612
21,w98916060,other,226605.19701500298,251783.55223889218,283256.4962687537,nr2,-225258.7293730478,-514665.8755497724,-289407.1461767246,0.15518481969912612
22,w98916062,trade,44628.266224654115,49586.962471837905,55785.33278081764,nr1,-48191.37596796371,-110106.52850405325,-61915.15253608954,0.16857640312493902
23,w98916065,other,74365.24956076973,82628.05506752193,92956.56195096216,nr2,-73923.37795527047,-168898.40471371412,-94975.02675844365,0.15518481969912612
24,w98916067,trade,3034378.024269405,3371531.1380771166,3792972.530336756,nr2,-3016348.0237356215,-6891681.405286598,-3875333.3815509765,0.15518481969912612
25,w98916074,trade,491122.8611791089,545692.0679767877,613903.5764738861,nr2,-488204.65343492234,-1115438.5719340786,-627233.9184991563,0.15518481969912612
26,w98916075,sfh,14372.556497617988,15969.507219575542,17965.695622022486,r1,-16607.912378087043,-37943.56963906122,-21335.657260974178,0.16858312955929736
27,w98916076,sfh,30526.14503843407,33917.93893159341,38157.68129804259,r1,-35273.85974256649,-80589.06641068833,-45315.20666812184,0.16858312955929736
28,w98916079,trade,503916.8562605286,559907.618067254,629896.0703256608,nr2,-500922.6277515255,-1144496.3021498704,-643573.6743983449,0.15518481969912612
