,Diameter,Renovated_Losses_W,Renovated_Length_m,Booster_Losses_W,Booster_Length_m,Losses_Diff_W,Length_Diff_m,Renovated_Length_km,Booster_Length_km,Length_Diff_km
149,0.268,0.0,0.0,1822.152,97.28,1822.152,97.28,0.0,0.09728,0.09728
150,0.276,4111.628000000001,217.79999999999998,3477.894,184.23,-633.7340000000008,-33.56999999999999,0.2178,0.18422999999999998,-0.033569999999999996
151,0.277,1838.203,97.28,0.0,0.0,-1838.203,-97.28,0.09728,0.0,-0.09728
152,0.279,0.0,0.0,1586.228,83.79,1586.228,83.79,0.0,0.08379,0.08379
153,0.28,0.0,0.0,982.316,51.84,982.316,51.84,0.0,0.051840000000000004,0.051840000000000004
154,0.281,0.0,0.0,1783.467,94.03,1783.467,94.03,0.0,0.09403,0.09403
155,0.282,0.0,0.0,1738.646,91.58,1738.646,91.58,0.0,0.09158,0.09158
156,0.283,3500.738,184.23,0.0,0.0,-3500.738,-184.23,0.18422999999999998,0.0,-0.18422999999999998
157,0.286,1596.618,83.79,0.0,0.0,-1596.618,-83.79,0.08379,0.0,-0.08379
158,0.287,988.692,51.84,3585.536,188.0,2596.844,136.16,0.051840000000000004,0.188,0.13616
159,0.288,1794.939,94.03,0.0,0.0,-1794.939,-94.03,0.09403,0.0,-0.09403
160,0.29,1751.376,91.58,0.0,0.0,-1751.376,-91.58,0.09158,0.0,-0.09158
161,0.293,0.0,0.0,5969.561,311.32,5969.561,311.32,0.0,0.31132,0.31132
162,0.295,3611.292,188.0,2012.143,104.75,-1599.149,-83.25,0.188,0.10475,-0.08325
163,0.3,6005.985,311.32,0.0,0.0,-6005.985,-311.32,0.31132,0.0,-0.31132
164,0.303,2026.074,104.75,0.0,0.0,-2026.074,-104.75,0.10475,0.0,-0.10475
165,0.31,0.0,0.0,4684.18,240.77,4684.18,240.77,0.0,0.24077,0.24077
166,0.317,4710.906,240.77,0.0,0.0,-4710.906,-240.77,0.24077,0.0,-0.24077
167,0.318,0.0,0.0,5097.39,260.31,5097.39,260.31,0.0,0.26031,0.26031
168,0.325,5125.504,260.31,0.0,0.0,-5125.504,-260.31,0.26031,0.0,-0.26031
169,0.348,0.0,0.0,2596.689,129.64,2596.689,129.64,0.0,0.12963999999999998,0.12963999999999998
170,0.349,0.0,0.0,880.733,43.94,880.733,43.94,0.0,0.04394,0.04394
171,0.35,2600.319,129.64,1430.5369999999998,71.32000000000001,-1169.7820000000002,-58.31999999999998,0.12963999999999998,0.07132000000000001,-0.058319999999999976
172,0.351,1173.267,58.449999999999996,0.0,0.0,-1173.267,-58.449999999999996,0.058449999999999995,0.0,-0.058449999999999995
173,0.352,3718.103,185.1,2576.961,128.29,-1141.1420000000003,-56.81,0.1851,0.12829,-0.05681
174,0.354,1730.292,86.02,0.0,0.0,-1730.292,-86.02,0.08602,0.0,-0.08602
175,0.355,0.0,0.0,1731.497,86.02,1731.497,86.02,0.0,0.08602,0.08602
176,0.357,6498.012000000001,322.37,0.0,0.0,-6498.012000000001,-322.37,0.32237,0.0,-0.32237
177,0.359,0.0,0.0,6507.039,322.37,6507.039,322.37,0.0,0.32237,0.32237
178,0.397,2219.914,107.32,0.0,0.0,-2219.914,-107.32,0.10732,0.0,-0.10732
179,0.403,0.0,0.0,2227.856,107.32,2227.856,107.32,0.0,0.10732,0.10732
