building_usage,savings_npv_25years_ir_0.05
sfh,-10126.901682349084
th,-13662.137939020036
mfh,-22764.157146056117
other,-29379.04449763358
ab,-33179.43562169107
education,-41119.06948948008
office,-55318.666132189916
health,-62423.57227595849
trade,-85855.16309929245
