building_usage,npv_per_nfa
office,-10.091525451966147
education,-40.66846241773213
trade,-52.164590594312465
health,-52.717467023134205
mfh,-54.830125652440294
other,-60.38897915189916
ab,-71.06683596547883
th,-78.06821967118933
sfh,-89.55720281755647
