building_usage,form_factor
ab,2.1335372326642337
education,1.947524830047357
health,1.6420730832629087
mfh,1.6101219793198576
office,1.0563364305331016
other,2.4642417116502675
sfh,3.3479745330029753
th,2.7687906931200374
trade,2.0182765894580466
