u,v,MW,Diameter,Length,Losses [W],mass_flow_kg_s,velocity_m_s,Re_supply,Re_return,f_supply,f_return,dp_supply_Pa,dp_return_Pa,dp_total_Pa,dp_minor_supply_Pa,dp_minor_return_Pa,flow_regime_supply,flow_regime_return,V_dot_m3_s
36140666,1685779940,3.548095800056689,0.151,141.62,5298.146,33.95306985700181,1.9644262250573352,919625.7833798944,666050.5647476589,0.015797947104560582,0.0160632617683507,14354.87314778626,14358.038518627905,28712.911666414166,558.6788794791629,549.9259208806482,turbulent,turbulent,0.03488593820436715
36140666,60121881,46.11678917685217,0.432,146.89,7303.518,441.3089873382983,3.1195061725319153,4177996.429549246,3025966.5743467193,0.01255323709798868,0.012700769190888694,11431.328982691555,11368.175530065617,22799.504512757172,1408.8426979995857,1386.7700149962354,turbulent,turbulent,0.453434052536515
36140666,318841599,9.527577372553855,0.226,178.54,7522.604,91.17298921104168,2.3548317703439423,1649934.8431580744,1194986.106243508,0.014410855886049553,0.014621350848241545,16035.481630689152,16003.262905188865,32038.744535878017,802.8059447417533,790.2281877241315,turbulent,turbulent,0.09367798790859312
60120202,9290858120,4.422661102255954,0.166,285.54,10999.286,42.32211581106176,2.0261041499727277,1042721.4858831303,755204.1788068041,0.015461989080035128,0.015715347941749305,26938.651489718184,26941.51002495172,53880.161514669904,594.3117805117056,585.0005525406784,turbulent,turbulent,0.04348492560705221
60120202,155463474,0.20498784428088185,0.048,70.99,1703.05,1.9616061653672903,1.1231555668187017,167139.7005546,121053.03478660574,0.021193968702319616,0.021738147566771397,9723.491323814786,9812.285274496035,19535.77659831082,182.62937580175367,179.7680767192546,turbulent,turbulent,0.0020155017426854776
60120202,155463502,0.4733666247860638,0.067,59.47,1658.916,4.52982416063219,1.331196936005926,276513.01678205124,200268.0376259996,0.019345651895735633,0.019782731549239308,7598.827570857633,7643.061215305094,15241.888786162726,256.5520123057832,252.53254920352362,turbulent,turbulent,0.004654282113812324
60120204,743319361,0.9918555789752436,0.091,22.9,720.915,9.491440947131517,1.512028357616774,426579.3194142729,308955.4487710334,0.017892879612128362,0.018259152439421493,2814.884810412511,2820.8328695706064,5635.717679983118,330.9868039974431,325.8011528148796,turbulent,turbulent,0.00975222045448556
60120204,60121892,9.04415636630541,0.222,150.33,6302.585,86.546950873736,2.316628494753925,1594438.7359254912,1154792.3510970306,0.014473043240178288,0.014687021179492816,13468.233077289658,13441.918328375954,26910.151405665612,776.9688268227,764.7958662485402,turbulent,turbulent,0.08892484811163309
60120205,99758771,0.5780021027502217,0.073,136.28,3938.492,5.531120600480591,1.3692349579681595,309884.10979079833,224437.4723530606,0.018929303417187675,0.019347365114079584,16257.408434400968,16350.225475956504,32607.633910357472,271.42307348465187,267.1706218310157,turbulent,turbulent,0.005683089401987495
60120207,60121867,35.348103712696634,0.387,260.31,12607.594,338.2593656717381,2.9794662546515958,3574768.351897474,2589071.0359083056,0.012840584956301106,0.012996965120451377,19785.594439016662,19697.387472143764,39482.98191116043,1285.1912164867229,1265.0558114762985,turbulent,turbulent,0.34755311898370767
60120207,7645650137,4.804795374467325,0.171,90.45,3515.611,45.97890310495048,2.0743257398170964,1099693.1889465323,796466.6528324365,0.015349545481225036,0.015596729429740367,9052.430767498035,9044.223095422407,18096.653862920444,622.9378500660054,613.1781304643647,turbulent,turbulent,0.0472421839668529
60120207,1685748306,2.9908644728390725,0.141,128.76,4713.775,28.620712658747102,1.8991216691026123,830176.3750497776,601265.7033275579,0.01605665930351354,0.0163333599568519,13282.489448888531,13290.840197642205,26573.329646530736,522.1513257816979,513.9706532977344,turbulent,turbulent,0.029407073274468506
