,full_id,building_usage,yearly_demand_useful_renovated,yearly_demand_delivered_renovated,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,consumer_size_renovated,consumer_size_unrenovated,npv_unrenovated_25years_ir_0.05_gas,npv_renovated_25years_ir_0.05_dh,savings_npv_25years_ir_0.05,operator_selling_price,NFA,npv_per_nfa
51,w99055041,ab,21595.11692946048,26993.8961618256,64982.981209910264,72203.31245545585,r1,r2,-107258.14753265315,-158816.17332222415,-51558.025789570995,0.08839270228274748,189.90211718752977,-271.4978987762262
52,w99055043,sfh,29155.98911223378,36444.98639029222,86320.99151306404,95912.21279229339,r1,r2,-142477.760645754,-201937.6497848132,-59459.8891390592,0.08839270228274748,190.2007592998445,-312.6164656646974
53,w99055048,sfh,5769.180841789516,7211.476052236895,24285.63485393199,26984.0387265911,r1,r1,-43545.67201477638,-66326.11039752353,-22780.438382747154,0.08839270228274748,47.74609960326925,-477.11621623617066
54,w99055050,trade,16984.909900636445,21231.137375795555,65308.77244341692,72565.3027149077,nr1,nr2,-100739.0383573933,-166201.37302891954,-65462.33467152623,0.08838917543097283,194.95880112051967,-335.77522171496486
55,w99055053,ab,14174.508663259385,17718.13582907423,49059.40863841541,54510.454042683785,r1,r1,-87966.6078591905,-133823.5853631127,-45856.977503922215,0.08839270228274748,122.33706042193808,-374.8412569810196
56,w99055057,ab,36040.58788819037,45050.73486023796,87681.8017174346,97424.2241304829,r1,r2,-144723.8561456332,-219395.1784124697,-74671.32226683648,0.08839270228274748,303.91877080444243,-245.69499958554383
57,w99055067,sfh,21931.666176569037,27414.582720711296,33001.382887256914,36668.203208063234,r1,r1,-59173.5568736789,-150218.7287005359,-91045.171826857,0.08839270228274748,194.8848727118224,-467.17413496472926
58,w99055068,ab,40200.04013772175,50250.05017215219,132493.30677667502,147214.7853074167,r1,r2,-218687.82226898547,-332499.20766031794,-113811.38539133247,0.08839270228274748,348.37368724122643,-326.6934029737022
59,w99055094,other,16614.595860209945,20768.24482526243,66091.27134448045,73434.74593831161,nr1,nr2,-101946.04598990016,-180510.7374727457,-78564.69148284555,0.08838917543097283,263.70872883694244,-297.92222589425177
60,w99055100,sfh,12089.433153049305,15111.79144131163,15744.323611141372,17493.69290126819,r1,r1,-28230.563301673767,-103385.26617894041,-75154.70287726664,0.08839270228274748,85.6876405166462,-877.0775157785636
61,w99055110,sfh,12604.978915374657,15756.22364421832,52473.960066172556,58304.40007352506,r1,r2,-86611.28876527665,-128680.74389610879,-42069.45513083214,0.08839270228274748,94.65369866762775,-444.4565370715957
62,w99055113,education,39333.930829421224,49167.41353677653,153671.86244078857,170746.51382309842,nr1,nr2,-237039.45221581208,-337603.42433047027,-100563.97211465819,0.08838917543097283,801.3236896117684,-125.4973157768245
63,w99055118,other,6219.479772060365,7774.349715075456,24020.58101149931,26689.534457221456,nr1,nr1,-40249.20764729739,-65829.46798341864,-25580.260336121246,0.08838917543097283,54.3237798044458,-470.8851340647652
64,w99055131,th,69240.53713621371,86550.67142026713,174492.9614592318,193881.0682880353,r2,r2,-288010.66764153907,-435025.5414988686,-147014.87385732954,0.08136760542010116,500.74276516167447,-293.59360551093124
65,w99055135,ab,68880.52212837798,86100.65266047248,134760.33544465396,149733.70604961552,r2,r2,-222429.68345792333,-325088.20339193987,-102658.51993401654,0.08136760542010116,663.0715527065098,-154.82268770992727
66,w99055142,sfh,9032.758360397225,11290.947950496531,30373.370700461764,33748.18966717974,r1,r1,-54461.365595776675,-75359.36546265444,-20897.99986687777,0.08839270228274748,64.54166975589469,-323.7908152348216
67,w99055146,sfh,17342.70904751041,21678.38630938801,45007.11390865703,50007.90434295226,r1,r1,-80700.5883266315,-102877.426373823,-22176.838047191486,0.08839270228274748,149.08371188635937,-148.75426541630526
68,w99055147,sfh,7330.462267285426,9163.077834106782,9628.24002989865,10698.044477665168,r1,r1,-17264.040447912168,-74914.23676309425,-57650.19631518208,0.08839270228274748,57.659734526090325,-999.8345776131881
69,w99055152,other,76892.01538215307,96115.01922769133,264252.3847284261,293613.76080936234,nr2,nr2,-407610.3427644949,-580224.5173766722,-172614.17461217736,0.08136760542010116,1635.3717537612654,-105.5504194781243
70,w99055158,trade,39120.40099323338,48900.50124154172,144743.79539184985,160826.4393242776,nr1,nr2,-223267.8736781867,-338832.19793203566,-115564.32425384896,0.08838917543097283,567.1104306213557,-203.77746204955298
71,w99055160,ab,41269.65009818708,51587.06262273384,101699.20767706775,112999.1196411864,r1,r2,-167860.39079594155,-286418.5018427002,-118558.11104675863,0.08839270228274748,362.3993257842958,-327.147714169109
72,w99055171,sfh,16885.70894548665,21107.136181858314,36534.23113964701,40593.59015516334,r1,r1,-65508.17617442358,-117014.11219755134,-51505.93602312776,0.08839270228274748,150.93386064656082,-341.2483839112703
73,w99055172,sfh,9019.499646113589,11274.374557641986,34959.915482691984,38844.350536324426,r1,r1,-62685.32910215973,-91703.24178977388,-29017.912687614145,0.08839270228274748,71.28885925472714,-407.0469494248497
74,w99055173,ab,46033.80958093352,57542.2619761669,103778.03118873315,115308.92354303683,r2,r2,-171291.60855106896,-251189.46860014417,-79897.86004907521,0.08136760542010116,413.9677898917347,-193.0050163322392
75,w99055181,other,15209.502381678169,19011.87797709771,55355.73112876553,61506.36792085059,nr1,nr2,-85386.4329836193,-149744.66915081325,-64358.23616719394,0.08838917543097283,184.62117180265486,-348.5961850355262
76,w99055182,sfh,9995.399856476368,12494.24982059546,41072.2949799907,45635.88331110078,r1,r1,-73645.21030024665,-105768.51865471777,-32123.308354471126,0.08839270228274748,84.81555104400032,-378.74314272634166
77,w99055185,education,10840.570650859518,13550.713313574397,27137.63133712484,30152.92370791649,nr1,nr1,-45472.17897106001,-130061.8511598654,-84589.67218880539,0.08838917543097283,136.9722994968528,-617.5677308443595
78,w99055186,sfh,5137.404922484948,6421.756153106185,8077.381808901094,8974.86867655677,r1,r1,-14483.254034908634,-55550.93666465793,-41067.682629749295,0.08839270228274748,41.49024544628337,-989.8153695648498
79,w99055192,ab,18121.209085465063,22651.511356831328,56573.984423398244,62859.982692664715,r1,r2,-93378.6147513568,-150570.68693789904,-57192.07218654224,0.08839270228274748,160.51305735595523,-356.3079111982309
80,w99055193,other,9055.86994602939,11319.837432536737,37451.259490311946,41612.510544791054,nr1,nr1,-62753.83260532943,-96237.7016777319,-33483.869072402464,0.08838917543097283,133.23216011486946,-251.31971922945257
81,w99055199,ab,69499.33638341566,86874.17047926957,144875.40265854934,160972.66962061037,r2,r2,-239125.18359242982,-334281.7906545646,-95156.6070621348,0.08136760542010116,594.2030242990702,-160.14157311700458
82,w99055201,sfh,16186.140935837673,20232.67616979709,23915.67348956297,26572.970543958854,r1,r1,-42882.3080002942,-137259.12280244735,-94376.81480215315,0.08839270228274748,119.5810925271362,-789.2285712370162
83,w99055202,ab,74224.65462412336,92780.8182801542,183212.87097097567,203569.8566344174,r2,r2,-302403.3797558206,-427003.4887714549,-124600.10901563428,0.08136760542010116,635.4450178422034,-196.08322595516134
84,w99055209,other,19092.937557201116,23866.171946501392,71166.34004527405,79073.7111614156,nr1,nr2,-109774.35942143192,-171571.52525695373,-61797.16583552181,0.08838917543097283,191.61494707558305,-322.50702139194675
85,w99055216,education,30329.625776782435,37912.03222097804,97615.7064420698,108461.89604674422,nr1,nr2,-150572.61111547577,-249043.72949842524,-98471.11838294947,0.08838917543097283,463.1840371862054,-212.59609675055128
86,w99055219,other,89363.99007406665,111704.9875925833,280358.9009157519,311509.889906391,nr2,nr2,-432454.7073313647,-604436.9365098565,-171982.2291784918,0.08136760542010116,773.0541430711745,-222.47113054105645
87,w99055224,ab,39326.77401159415,49158.46751449268,88079.81530757781,97866.46145286423,r1,r2,-145380.80046515714,-233629.71774944506,-88248.91728428792,0.08839270228274748,318.955577952601,-276.68090287294586
88,w99055226,ab,28811.221455015977,36014.02681876997,69321.04823838189,77023.38693153542,r1,r2,-114418.3766369988,-176936.8762842522,-62518.49964725341,0.08839270228274748,262.56915004737675,-238.10298976849666
89,w99055235,trade,149404.7926523063,186755.99081538286,455420.4985622041,506022.7761802268,nr2,nr2,-702487.9102290586,-914825.8784679301,-212337.96823887154,0.08136760542010116,1694.7837025728077,-125.28912563681531
90,w99055245,ab,47895.25638616388,59869.07048270485,110594.87925706254,122883.19917451392,r2,r2,-182543.20831160824,-270660.0992128509,-88116.89090124267,0.08136760542010116,424.4345906373113,-207.61006017188757
91,w99055249,sfh,9527.919340341607,11909.899175427008,33446.903939437485,37163.22659937498,r1,r1,-59972.404164705855,-104475.71362412907,-44503.30945942322,0.08839270228274748,70.42309986636974,-631.9419273486935
92,w99055257,trade,8302.741753787854,10378.427192234816,36946.07902516493,41051.19891684992,nr1,nr1,-61907.345443702216,-100852.66353257002,-38945.3180888678,0.08838917543097283,137.79457132667304,-282.633181510026
93,w99055287,mfh,29327.158711257514,36658.94838907189,65413.202259158345,72681.33584350927,r1,r2,-107968.25211561841,-178439.14733987718,-70470.89522425877,0.08839270228274748,226.3710821658373,-311.3069679661312
94,w99055292,trade,5742.2884325185605,7177.8605406482,26638.013577625854,29597.792864028725,nr1,nr1,-44635.01275360984,-77090.53117289959,-32455.51841928975,0.08838917543097283,58.725108856521544,-552.6685101356861
95,w99055300,other,76273.07353797425,95341.34192246781,253934.7967876531,282149.7742085034,nr2,nr2,-391695.422786144,-555500.1374818255,-163804.71469568153,0.08136760542010116,847.1402418442303,-193.36198023018892
96,w99389931,mfh,51882.65252404952,64853.315655061895,99582.28350232905,110646.9816692545,r2,r2,-164366.28570531614,-262711.3904000419,-98345.10469472574,0.08136760542010116,488.4274571448564,-201.35048358994862
97,w99389943,ab,329651.0091598724,412063.7614498405,624462.3880690951,693847.0978545501,r2,r2,-1030711.0831334601,-1386053.6491076448,-355342.56597418466,0.08136760542010116,3490.8252122399163,-101.79328507432666
98,w99389949,ab,284257.7582638273,355322.1978297841,683124.5893772031,759027.3215302257,r2,r2,-1127536.4199423487,-1507513.851064054,-379977.43112170533,0.08136760542010116,2474.179022271931,-153.57717760163877
99,w99389956,education,46899.24791118664,58624.0598889833,46899.24791118664,52110.27545687404,nr2,nr1,-78585.00869632402,-67229.51613999931,11355.492556324709,0.08136760542010116,671.7147096479312,16.90523133292185
100,w99389960,ab,80098.50062143736,100123.12577679669,196619.69517326806,218466.32797029783,r2,r2,-324532.1141022608,-442470.78307242773,-117938.66897016694,0.08136760542010116,693.6997662768932,-170.0139955403866
101,w99389971,education,79005.85520261421,98757.31900326777,309303.5674613809,343670.63051264547,nr2,nr2,-477101.96931915294,-664763.0719299231,-187661.1026107702,0.08136760542010116,1612.9015118613836,-116.35000725754061
102,w99389974,education,10047.192716967635,12558.990896209543,43366.28216826591,48184.7579647399,nr1,nr1,-72665.12392211602,-120954.80265696741,-48289.67873485139,0.08838917543097283,235.12884147074072,-205.37539517822412
103,w99389975,mfh,111466.82540481444,139333.53175601806,203599.25388206367,226221.39320229297,r2,r2,-336052.2771320642,-494756.9895319627,-158704.7123998985,0.08136760542010116,1082.0712234761565,-146.66752886197196
104,w99389979,ab,21228.517390207166,26535.646737758954,58414.06986123536,64904.52206803929,r1,r2,-96415.7815862653,-162647.90696558382,-66232.12537931853,0.08839270228274748,163.53384786918758,-405.0056073547434
105,w99389992,other,222880.7619206125,278600.9524007656,222880.7619206125,247645.2910229028,nr2,nr2,-343794.45186630293,-319496.93114936,24297.520716942905,0.08136760542010116,2569.363114476204,9.456631715481077
106,w99390006,education,13943.155864366083,17428.944830457604,83282.49698597375,92536.10776219305,nr1,nr2,-128463.57915605236,-215883.23685675237,-87419.6577007,0.08838917543097283,431.6004564465955,-202.54764886124943
107,w99390011,ab,247425.31787724234,309281.6473465529,487902.76263553556,542114.1807061506,r2,r2,-805311.5680751572,-1049640.519749611,-244328.95167445368,0.08136760542010116,2554.974828636646,-95.62871185107896
108,w99390014,trade,43622.5019390578,54528.12742382225,125980.24566648666,139978.05074054073,nr1,nr2,-194325.02442861776,-361801.8248183735,-167476.80038975572,0.08838917543097283,587.280543653667,-285.17341873413176
109,w99390021,other,56431.07453005592,70538.8431625699,203329.9608709738,225922.17874552644,nr2,nr2,-313637.2643527311,-502094.33212379005,-188457.06777105894,0.08136760542010116,1617.1983746248297,-116.53305539265007
110,w99390022,education,501507.8998853299,626884.8748566624,501507.8998853299,557230.9998725888,nr2,nr2,-773577.9080345666,-718905.6317816945,54672.27625287208,0.08136760542010116,5590.431437242403,9.779616630061081
111,w99390025,education,22880.136119028128,28600.170148785157,22880.136119028128,25422.373465586807,nr1,nr1,-38338.262892655606,-35628.72313182154,2709.5397608340645,0.08838917543097283,237.89438336268066,11.389675210209775
112,w99390027,mfh,12111.38188864718,15139.227360808974,27759.268305341284,30843.631450379202,r1,r1,-49774.1154499347,-65964.25307115426,-16190.137621219561,0.08839270228274748,116.0190749399364,-139.5472048850697
113,w99390046,mfh,104637.32667388588,130796.65834235735,211796.0789351003,235328.97659455586,r2,r2,-349581.60826567287,-438354.02018873807,-88772.4119230652,0.08136760542010116,1095.085822885856,-81.06434223495395
114,w99390052,education,80452.87476272321,100566.093453404,313307.17899148044,348119.0877683116,nr2,nr2,-483277.55585078214,-765453.452122455,-282175.89627167286,0.08136760542010116,1678.6958267321402,-168.09233202239804
115,w99390065,education,86800.34062073754,108500.42577592192,348951.4029727128,387723.781080792,nr2,nr2,-538258.9115327604,-754524.1832463589,-216265.27171359851,0.08136760542010116,2581.633286331594,-83.77071711098966
116,w99390082,education,9140.033185312222,11425.041481640277,39827.93660519214,44253.26289465793,nr1,nr1,-66736.22464911878,-95344.88571317134,-28608.66106405256,0.08838917543097283,124.21957990797236,-230.3071793130132
117,w99390107,education,26712.358260262183,33390.44782532773,26712.358260262183,29680.39806695798,nr1,nr1,-44759.58570076169,-41596.22179264087,3163.3639081208166,0.08838917543097283,332.09000708311794,9.525622092353615
118,w99390110,mfh,111016.92938734422,138771.16173418026,239891.65743218464,266546.2860357607,r2,r2,-395954.97629754676,-531588.9745118935,-135633.9982143467,0.08136760542010116,1066.5973296171287,-127.16513950305368
119,w99390116,ab,76366.64546448652,95458.30683060814,158097.7549469809,175664.1721633121,r2,r2,-260949.43643641943,-389811.46146117436,-128862.02502475493,0.08136760542010116,694.0162199864862,-185.6758117659903
120,w99390122,other,23978.9127918091,29973.640989761374,98676.7039395479,109640.78215505321,nr1,nr2,-152209.2039283042,-265122.1397299575,-112912.93580165331,0.08838917543097283,307.42072394330467,-367.2912299252701
121,w99390129,trade,62972.859261591475,78716.07407698935,195071.71625481176,216746.35139423527,nr2,nr2,-300898.8895521167,-421502.7535273941,-120603.8639752774,0.08136760542010116,1196.3697846690193,-100.80818282170422
122,w99390130,education,49512.76423577884,61890.95529472355,164651.07624751102,182945.64027501224,nr2,nr2,-253974.93269460523,-389336.68483499606,-135361.75214039083,0.08136760542010116,964.417538562417,-140.35596277330686
123,w99390133,education,680645.1328091653,850806.4160114565,680645.1328091653,756272.3697879614,nr2,nr2,-1049897.7943773482,-975696.7324606281,74201.06191672,0.08136760542010116,9252.387912133521,8.019666125261914
124,w99390139,ab,101272.3942615666,126590.49282695825,193561.77819765167,215068.6424418352,r2,r2,-319484.84627910896,-560854.6634521995,-241369.8171730906,0.08136760542010116,1249.1388426542283,-193.22897417889655
125,w99390141,other,7161.259483685899,8951.574354607374,30821.618759402736,34246.24306600304,nr1,nr1,-51645.11769632692,-92390.89932624366,-40745.78162991674,0.08838917543097283,112.67489476799965,-361.622539908409
126,w99758761,trade,18702.739494504167,23378.424368130207,71706.83112597434,79674.25680663815,nr1,nr2,-110608.06903919684,-186064.01212125935,-75455.94308206251,0.08838917543097283,171.36210507287177,-440.33039305845864
127,w99758765,trade,17633.22369336,22041.529616699998,64055.628922168136,71172.92102463126,nr1,nr2,-98806.05954717645,-166569.79909171144,-67763.73954453498,0.08838917543097283,309.03573338240386,-219.2747705996946
128,w99758770,mfh,67803.20632134694,84754.00790168367,123602.56527583835,137336.18363982037,r2,r2,-204013.14213248855,-358361.4317511115,-154348.28961862298,0.08136760542010116,601.7205038767308,-256.5116006920099
129,w99758771,mfh,93790.2658837786,117237.83235472324,175271.79498964516,194746.4388773835,r2,r2,-289296.1771726979,-436876.5799001747,-147580.4027274768,0.08136760542010116,976.6668764967471,-151.1061819326155
130,w99758774,ab,21548.287941595398,26935.359926994246,62183.884482976144,69093.20498108461,r1,r2,-102638.07741420371,-175201.81517737676,-72563.73776317305,0.08839270228274748,197.5460334163159,-367.32571395270446
131,w99758775,sfh,27414.764697100116,34268.45587137514,41468.16576899654,46075.73974332949,r1,r1,-74355.03154403793,-197220.73428210567,-122865.70273806773,0.08839270228274748,265.071225726977,-463.5195781854468
