,full_id,building_usage,yearly_demand_useful_renovated,yearly_demand_delivered_renovated,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,consumer_size_renovated,consumer_size_unrenovated,npv_unrenovated_25years_ir_0.05_gas,npv_renovated_25years_ir_0.05_dh,savings_npv_25years_ir_0.05,NFA
54,w99055050,trade,16984.909900636445,21231.137375795555,65308.77244341692,72565.3027149077,nr1,nr2,-100739.0383573933,-187458.50065520755,-86719.46229781424,194.95880112051967
55,w99055053,ab,14174.508663259385,17718.13582907423,49059.40863841541,54510.454042683785,r1,r1,-87966.6078591905,-152805.95616227327,-64839.34830308278,122.33706042193808
56,w99055057,ab,36040.58788819037,45050.73486023796,87681.8017174346,97424.2241304829,r1,r2,-144723.8561456332,-267660.4001119462,-122936.54396631301,303.91877080444243
57,w99055067,sfh,21931.666176569037,27414.582720711296,33001.382887256914,36668.203208063234,r1,r1,-59173.5568736789,-179589.41303939684,-120415.85616571794,194.8848727118224
58,w99055068,ab,40200.04013772175,50250.05017215219,132493.30677667502,147214.7853074167,r1,r2,-218687.82226898547,-386334.729311472,-167646.9070424865,348.37368724122643
59,w99055094,other,16614.595860209945,20768.24482526243,66091.27134448045,73434.74593831161,nr1,nr2,-101946.04598990016,-201304.4058952344,-99358.35990533425,263.70872883694244
60,w99055100,sfh,12089.433153049305,15111.79144131163,15744.323611141372,17493.69290126819,r1,r1,-28230.563301673767,-119575.32315479024,-91344.75985311647,85.6876405166462
61,w99055110,sfh,12604.978915374657,15756.22364421832,52473.960066172556,58304.40007352506,r1,r2,-86611.28876527665,-145561.21498484857,-58949.92621957192,94.65369866762775
62,w99055113,education,39333.930829421224,49167.41353677653,153671.86244078857,170746.51382309842,nr1,nr2,-237039.45221581208,-386831.0265124083,-149791.5742965962,801.3236896117684
63,w99055118,other,6219.479772060365,7774.349715075456,24020.58101149931,26689.534457221456,nr1,nr1,-40249.20764729739,-73613.33472496964,-33364.127077672245,54.3237798044458
64,w99055131,th,69240.53713621371,86550.67142026713,174492.9614592318,193881.0682880353,r2,r2,-288010.66764153907,-520382.31520425313,-232371.64756271406,500.74276516167447
65,w99055135,ab,68880.52212837798,86100.65266047248,134760.33544465396,149733.70604961552,r2,r2,-222429.68345792333,-410001.16598861053,-187571.4825306872,663.0715527065098
66,w99055142,sfh,9032.758360397225,11290.947950496531,30373.370700461764,33748.18966717974,r1,r1,-54461.365595776675,-87455.95184950493,-32994.58625372825,64.54166975589469
67,w99055146,sfh,17342.70904751041,21678.38630938801,45007.11390865703,50007.90434295226,r1,r1,-80700.5883266315,-126102.62180194438,-45402.03347531287,149.08371188635937
68,w99055147,sfh,7330.462267285426,9163.077834106782,9628.24002989865,10698.044477665168,r1,r1,-17264.040447912168,-84731.12397891328,-67467.08353100112,57.659734526090325
69,w99055152,other,76892.01538215307,96115.01922769133,264252.3847284261,293613.76080936234,nr2,nr2,-407610.3427644949,-668812.5444208874,-261202.20165639248,1635.3717537612654
70,w99055158,trade,39120.40099323338,48900.50124154172,144743.79539184985,160826.4393242776,nr1,nr2,-223267.8736781867,-387792.5610761209,-164524.68739793418,567.1104306213557
71,w99055160,ab,41269.65009818708,51587.06262273384,101699.20767706775,112999.1196411864,r1,r2,-167860.39079594155,-341686.4352523412,-173826.04445639966,362.3993257842958
72,w99055171,sfh,16885.70894548665,21107.136181858314,36534.23113964701,40593.59015516334,r1,r1,-65508.17617442358,-139627.29731914584,-74119.12114472227,150.93386064656082
73,w99055172,sfh,9019.499646113589,11274.374557641986,34959.915482691984,38844.350536324426,r1,r1,-62685.32910215973,-103782.07222918155,-41096.743127021815,71.28885925472714
74,w99055173,ab,46033.80958093352,57542.2619761669,103778.03118873315,115308.92354303683,r2,r2,-171291.60855106896,-307937.980811518,-136646.37226044902,413.9677898917347
75,w99055181,other,15209.502381678169,19011.87797709771,55355.73112876553,61506.36792085059,nr1,nr2,-85386.4329836193,-168779.82065594717,-83393.38767232787,184.62117180265486
76,w99055182,sfh,9995.399856476368,12494.24982059546,41072.2949799907,45635.88331110078,r1,r1,-73645.21030024665,-119154.26562267517,-45509.055322428525,84.81555104400032
77,w99055185,education,10840.570650859518,13550.713313574397,27137.63133712484,30152.92370791649,nr1,nr1,-45472.17897106001,-143629.15267722454,-98156.97370616453,136.9722994968528
78,w99055186,sfh,5137.404922484948,6421.756153106185,8077.381808901094,8974.86867655677,r1,r1,-14483.254034908634,-62430.90178378874,-47947.6477488801,41.49024544628337
79,w99055192,ab,18121.209085465063,22651.511356831328,56573.984423398244,62859.982692664715,r1,r2,-93378.6147513568,-174838.44241086493,-81459.82765950813,160.51305735595523
80,w99055193,other,9055.86994602939,11319.837432536737,37451.259490311946,41612.510544791054,nr1,nr1,-62753.83260532943,-107571.39637119621,-44817.563765866784,133.23216011486946
81,w99055199,ab,69499.33638341566,86874.17047926957,144875.40265854934,160972.66962061037,r2,r2,-239125.18359242982,-419957.60100657545,-180832.41741414563,594.2030242990702
82,w99055201,sfh,16186.140935837673,20232.67616979709,23915.67348956297,26572.970543958854,r1,r1,-42882.3080002942,-158935.45292089044,-116053.14492059624,119.5810925271362
83,w99055202,ab,74224.65462412336,92780.8182801542,183212.87097097567,203569.8566344174,r2,r2,-302403.3797558206,-518504.4694130108,-216101.0896571902,635.4450178422034
84,w99055209,other,19092.937557201116,23866.171946501392,71166.34004527405,79073.7111614156,nr1,nr2,-109774.35942143192,-195466.9131505901,-85692.55372915817,191.61494707558305
85,w99055216,education,30329.625776782435,37912.03222097804,97615.7064420698,108461.89604674422,nr1,nr2,-150572.61111547577,-287002.17200805905,-136429.56089258328,463.1840371862054
86,w99055219,other,89363.99007406665,111704.9875925833,280358.9009157519,311509.889906391,nr2,nr2,-432454.7073313647,-707394.0449965438,-274939.3376651791,773.0541430711745
87,w99055224,ab,39326.77401159415,49158.46751449268,88079.81530757781,97866.46145286423,r1,r2,-145380.80046515714,-286295.7694876512,-140914.96902249404,318.955577952601
88,w99055226,ab,28811.221455015977,36014.02681876997,69321.04823838189,77023.38693153542,r1,r2,-114418.3766369988,-215520.59737318373,-101102.22073618493,262.56915004737675
89,w99055235,trade,149404.7926523063,186755.99081538286,455420.4985622041,506022.7761802268,nr2,nr2,-702487.9102290586,-1086956.5704030753,-384468.6601740167,1694.7837025728077
90,w99055245,ab,47895.25638616388,59869.07048270485,110594.87925706254,122883.19917451392,r2,r2,-182543.20831160824,-329703.3234569476,-147160.11514533934,424.4345906373113
91,w99055249,sfh,9527.919340341607,11909.899175427008,33446.903939437485,37163.22659937498,r1,r1,-59972.404164705855,-117235.4150119914,-57263.01084728554,70.42309986636974
92,w99055257,trade,8302.741753787854,10378.427192234816,36946.07902516493,41051.19891684992,nr1,nr1,-61907.345443702216,-111243.7955515727,-49336.45010787048,137.79457132667304
93,w99055287,mfh,29327.158711257514,36658.94838907189,65413.202259158345,72681.33584350927,r1,r2,-107968.25211561841,-217713.8068267274,-109745.554711109,226.3710821658373
94,w99055292,trade,5742.2884325185605,7177.8605406482,26638.013577625854,29597.792864028725,nr1,nr1,-44635.01275360984,-84277.17854348298,-39642.16578987314,58.725108856521544
95,w99055300,other,76273.07353797425,95341.34192246781,253934.7967876531,282149.7742085034,nr2,nr2,-391695.422786144,-643375.0757019487,-251679.6529158047,847.1402418442303
96,w99389931,mfh,51882.65252404952,64853.315655061895,99582.28350232905,110646.9816692545,r2,r2,-164366.28570531614,-326670.10611621756,-162303.82041090142,488.4274571448564
97,w99389943,ab,329651.0091598724,412063.7614498405,624462.3880690951,693847.0978545501,r2,r2,-1030711.0831334601,-1792433.3185093482,-761722.2353758881,3490.8252122399163
98,w99389949,ab,284257.7582638273,355322.1978297841,683124.5893772031,759027.3215302257,r2,r2,-1127536.4199423487,-1857934.66161313,-730398.2416707813,2474.179022271931
99,w99389956,education,46899.24791118664,58624.0598889833,46899.24791118664,52110.27545687404,nr2,nr1,-78585.00869632402,-121262.58864643109,-42677.57995010707,671.7147096479312
100,w99389960,ab,80098.50062143736,100123.12577679669,196619.69517326806,218466.32797029783,r2,r2,-324532.1141022608,-541212.7899149602,-216680.67581269937,693.6997662768932
101,w99389971,education,79005.85520261421,98757.31900326777,309303.5674613809,343670.63051264547,nr2,nr2,-477101.96931915294,-755786.474068047,-278684.5047488941,1612.9015118613836
102,w99389974,education,10047.192716967635,12558.990896209543,43366.28216826591,48184.7579647399,nr1,nr1,-72665.12392211602,-133529.16773278627,-60864.04381067025,235.12884147074072
103,w99389975,mfh,111466.82540481444,139333.53175601806,203599.25388206367,226221.39320229297,r2,r2,-336052.2771320642,-632168.5259707837,-296116.24883871945,1082.0712234761565
104,w99389979,ab,21228.517390207166,26535.646737758954,58414.06986123536,64904.52206803929,r1,r2,-96415.7815862653,-191076.94095826396,-94661.15937199867,163.53384786918758
105,w99389992,other,222880.7619206125,278600.9524007656,222880.7619206125,247645.2910229028,nr2,nr2,-343794.45186630293,-576279.9906975852,-232485.53883128223,2569.363114476204
106,w99390006,education,13943.155864366083,17428.944830457604,83282.49698597375,92536.10776219305,nr1,nr2,-128463.57915605236,-233333.51745617724,-104869.93830012488,431.6004564465955
107,w99390011,ab,247425.31787724234,309281.6473465529,487902.76263553556,542114.1807061506,r2,r2,-805311.5680751572,-1354655.8726126794,-549344.3045375221,2554.974828636646
108,w99390014,trade,43622.5019390578,54528.12742382225,125980.24566648666,139978.05074054073,nr1,nr2,-194325.02442861776,-416396.70324406365,-222071.6788154459,587.280543653667
109,w99390021,other,56431.07453005592,70538.8431625699,203329.9608709738,225922.17874552644,nr2,nr2,-313637.2643527311,-567109.1133303577,-253471.8489776266,1617.1983746248297
110,w99390022,education,501507.8998853299,626884.8748566624,501507.8998853299,557230.9998725888,nr2,nr2,-773577.9080345666,-1296697.684404116,-523119.77636954933,5590.431437242403
111,w99390025,education,22880.136119028128,28600.170148785157,22880.136119028128,25422.373465586807,nr1,nr1,-38338.262892655606,-64263.90438590627,-25925.641493250667,237.89438336268066
112,w99390027,mfh,12111.38188864718,15139.227360808974,27759.268305341284,30843.631450379202,r1,r1,-49774.1154499347,-82183.70359055397,-32409.588140619264,116.0190749399364
113,w99390046,mfh,104637.32667388588,130796.65834235735,211796.0789351003,235328.97659455586,r2,r2,-349581.60826567287,-567346.4425968535,-217764.8343311806,1095.085822885856
114,w99390052,education,80452.87476272321,100566.093453404,313307.17899148044,348119.0877683116,nr2,nr2,-483277.55585078214,-858143.9793487604,-374866.4234979783,1678.6958267321402
115,w99390065,education,86800.34062073754,108500.42577592192,348951.4029727128,387723.781080792,nr2,nr2,-538258.9115327604,-854527.6866548769,-316268.77512211655,2581.633286331594
116,w99390082,education,9140.033185312222,11425.041481640277,39827.93660519214,44253.26289465793,nr1,nr1,-66736.22464911878,-106783.91324203738,-40047.688592918596,124.21957990797236
117,w99390107,education,26712.358260262183,33390.44782532773,26712.358260262183,29680.39806695798,nr1,nr1,-44759.58570076169,-75027.54477635861,-30267.959075596926,332.09000708311794
118,w99390110,mfh,111016.92938734422,138771.16173418026,239891.65743218464,266546.2860357607,r2,r2,-395954.97629754676,-668445.8983763114,-272490.92207876465,1066.5973296171287
119,w99390116,ab,76366.64546448652,95458.30683060814,158097.7549469809,175664.1721633121,r2,r2,-260949.43643641943,-483952.9968269117,-223003.56039049226,694.0162199864862
120,w99390122,other,23978.9127918091,29973.640989761374,98676.7039395479,109640.78215505321,nr1,nr2,-152209.2039283042,-295132.4731692898,-142923.26924098562,307.42072394330467
121,w99390129,trade,62972.859261591475,78716.07407698935,195071.71625481176,216746.35139423527,nr2,nr2,-300898.8895521167,-494054.38755066134,-193155.49799854466,1196.3697846690193
122,w99390130,education,49512.76423577884,61890.95529472355,164651.07624751102,182945.64027501224,nr2,nr2,-253974.93269460523,-446380.8145193777,-192405.88182477248,964.417538562417
123,w99390133,education,680645.1328091653,850806.4160114565,680645.1328091653,756272.3697879614,nr2,nr2,-1049897.7943773482,-1759874.506097275,-709976.7117199269,9252.387912133521
124,w99390139,ab,101272.3942615666,126590.49282695825,193561.77819765167,215068.6424418352,r2,r2,-319484.84627910896,-685698.9410548056,-366214.0947756967,1249.1388426542283
125,w99390141,other,7161.259483685899,8951.574354607374,30821.618759402736,34246.24306600304,nr1,nr1,-51645.11769632692,-101353.43181538997,-49708.31411906305,112.67489476799965
126,w99758761,trade,18702.739494504167,23378.424368130207,71706.83112597434,79674.25680663815,nr1,nr2,-110608.06903919684,-209471.05535679607,-98862.98631759924,171.36210507287177
127,w99758765,trade,17633.22369336,22041.529616699998,64055.628922168136,71172.92102463126,nr1,nr2,-98806.05954717645,-188638.31100643135,-89832.2514592549,309.03573338240386
128,w99758770,mfh,67803.20632134694,84754.00790168367,123602.56527583835,137336.18363982037,r2,r2,-204013.14213248855,-441946.32548302034,-237933.1833505318,601.7205038767308
129,w99758771,mfh,93790.2658837786,117237.83235472324,175271.79498964516,194746.4388773835,r2,r2,-289296.1771726979,-552497.2095475217,-263201.03237482376,976.6668764967471
130,w99758774,ab,21548.287941595398,26935.359926994246,62183.884482976144,69093.20498108461,r1,r2,-102638.07741420371,-204059.0829326025,-101421.00551839879,197.5460334163159
131,w99758775,sfh,27414.764697100116,34268.45587137514,41468.16576899654,46075.73974332949,r1,r1,-74355.03154403793,-233934.33340677727,-159579.30186273932,265.071225726977
132,w99758777,ab,38785.81336494016,48482.26670617519,105954.58460251115,117727.31622501239,r1,r2,-174884.13512989104,-323550.87123226124,-148666.7361023702,337.6781565959565
133,w99758783,th,46165.858494498185,57707.32311812273,46165.858494498185,51295.3983272202,r2,r1,-82778.2903091995,-127721.98234479228,-44943.69203559279,333.3155570875853
134,w99758786,mfh,24975.758120688377,31219.69765086047,58859.38042021428,65399.31157801586,r1,r2,-97150.79227280986,-167869.33364284073,-70718.54137003087,182.17889552428386
135,w99758788,other,29695.324703960447,37119.15587995056,107247.06333366054,119163.40370406726,nr1,nr2,-165429.01700147404,-282417.4832918119,-116988.46629033785,349.08404515869915
136,w99758792,sfh,7098.129910688255,8872.662388360319,22560.840147597835,25067.600163997595,r1,r1,-40453.00653468541,-91230.95397092223,-50777.94743623682,60.93018751584459
137,w99758793,ab,14533.912444621437,18167.390555776794,45544.688375520156,50605.2093061335,r1,r1,-81664.49318472295,-136559.36794935472,-54894.87476463178,126.39461716674268
138,w99758796,ab,92578.39928517047,115722.99910646307,179322.33204421046,199247.03560467827,r2,r2,-295981.8215198178,-510538.11305543664,-214556.29153561883,906.0679207786917
139,w99758800,ab,43617.35169245246,54521.68961556557,99487.39834212833,110541.55371347592,r1,r2,-164209.6722917426,-303707.2997008211,-139497.6274090785,420.9761067721993
140,w99758801,mfh,30453.792851169546,38067.241063961934,71440.53956745433,79378.37729717146,r1,r2,-117916.71896348412,-213997.0686507563,-96080.34968727217,293.7319820257835
141,w99758803,mfh,56071.10035591353,70088.8754448919,131384.60978199245,145982.8997577694,r2,r2,-216857.85412023985,-346923.0695147858,-130065.21539454593,512.6721141899004
142,w99758805,sfh,21149.48042883679,26436.850536045986,58159.717102174254,64621.90789130473,r1,r2,-95995.95773009918,-202634.2695658908,-106638.31183579162,165.76912949401884
143,w99758807,other,10633.353902934445,13291.692378668055,42605.10553834061,47339.006153711794,nr1,nr1,-71389.686154001,-122056.99151707038,-50667.305363069376,110.8734177275095
144,w99758813,other,4335.785169212401,5419.731461515501,17306.7893226752,19229.765914083553,nr0,nr1,-28999.48826478882,-57339.89796039614,-28340.409695607323,43.0509613757953
145,w99758814,th,9884.973779293656,12356.217224117068,18715.5754116606,20795.083790734,r1,r1,-33558.20481308256,-84609.09128145281,-51050.886468370256,84.92593946289271
146,w99758818,mfh,42981.25264898336,53726.5658112292,91711.52463429667,101901.69403810741,r1,r2,-151375.14556149318,-303543.478559775,-152168.3329982818,424.19755738042295
147,w99758821,sfh,4362.174934958981,5452.718668698726,16591.68554566197,18435.206161846632,r0,r1,-29749.93658964306,-76358.00281342484,-46608.06622378178,35.03456762442365
148,w99758824,ab,54415.092655594315,68018.86581949289,169348.0416963535,188164.4907737261,r2,r2,-279518.68169851333,-475724.5239098623,-196205.842211349,478.7830200769007
149,w99758826,ab,50422.93344994148,63028.666812426854,106368.10829847213,118186.78699830236,r2,r2,-175566.67977102342,-355269.2942428796,-179702.61447185618,392.0728006519377
150,w99758837,mfh,27818.768765056746,34773.46095632093,81068.34105236304,90075.9345026256,r1,r2,-133807.95899058756,-213909.21168939254,-80101.25269880498,194.723237061128
151,w99758838,ab,49879.55482966044,62349.443537075545,109862.70524728548,122069.67249698387,r2,r2,-181334.7130025585,-353758.044765614,-172423.33176305547,478.1149431033991
152,w99758842,sfh,9098.77198804681,11373.464985058512,28836.13150330949,32040.146114788324,r1,r1,-51704.99894981219,-82177.98155267056,-30472.982602858378,66.20839738831855
153,w99758845,th,20597.68337727332,25747.104221591646,68631.03812160477,76256.7090240053,r1,r2,-113279.47525810951,-214414.95837341424,-101135.48311530473,141.8255072105676
154,w99758846,other,39110.73926488373,48888.424081104655,132388.56970357036,147098.41078174484,nr1,nr2,-204209.88946015234,-372251.4611201382,-168041.57165998584,563.5821329504251
155,w99758847,sfh,48245.97195129891,60307.46493912364,141765.98617754248,157517.76241949163,r2,r2,-233992.9128739939,-380706.1957813432,-146713.28290734932,385.25146163031457
156,w99758850,ab,22322.486341848085,27903.107927310106,51542.08490718524,57268.98323020582,r1,r2,-85073.17522502817,-177340.1479804663,-92266.97275543814,177.17881421931088
157,w99758852,other,27630.39919965029,34537.99899956286,94738.4325839545,105264.92509328279,nr1,nr2,-146134.40487283768,-281460.39890124794,-135325.99402841026,422.9061155930161
158,w99758858,sfh,6590.511049374096,8238.13881171762,9200.09663478349,10222.329594203877,r1,r1,-16496.352389884763,-83754.53239277929,-67258.18000289453,57.38898355839774
159,w99758862,sfh,47385.93913186298,59232.42391482872,153965.21116104606,171072.45684560674,r2,r2,-254128.4352631253,-445633.4337300721,-191504.9984669468,402.33381934519855
