building_usage,savings_npv_25years_ir_0.05
office,-47326.04407883057
sfh,-53031.342718139
th,-58070.38110784934
mfh,-72729.01214685726
other,-89518.6488160155
education,-117708.00857636692
ab,-119913.9356333198
trade,-175613.1451405697
health,-207236.43528589536
