building_usage,npv_per_nfa
health,-15.10348509424236
office,-98.38485328226068
education,-145.29162221852064
trade,-206.86852851715878
mfh,-220.62586384505593
other,-278.21551193218534
ab,-288.78758988510106
th,-464.60065813836917
sfh,-477.372119192785
