building_usage,savings_npv_25years_ir_0.05
sfh,-34707.31862447807
th,-46823.420372256085
mfh,-78018.22117646826
other,-100666.45811560853
ab,-113713.87617098566
education,-140893.31893857045
office,-189547.83187914698
health,-213892.5901572667
trade,-294180.267872218
