building_usage,npv_per_nfa
office,-34.57832416281524
education,-139.3493266580058
trade,-178.74048199910644
health,-180.6348973150837
mfh,-187.91597873970707
other,-206.92111484186205
ab,-243.56307554427076
th,-267.5584951413489
sfh,-306.93399331837156
