,0
0,-86047994.04203428
1,-76282914.75504023
2,-66517835.46804618
3,-56752756.18105214
4,-46987676.89405811
5,-37222597.607064076
6,-27457518.320070036
7,-17692439.033075973
8,-7927359.746081937
9,1837719.5409120806
10,11602798.827906132
11,21367878.11490018
12,31132957.401894256
13,40898036.68888824
14,50663115.975882314
15,60428195.26287636
16,70193274.54987037
17,79958353.83686446
18,89723433.12385847
19,99488512.41085254
