,trade,office,other,ab,sfh,mfh,education,th,health
0.0,-391.12283023151275,-234.69837120613425,-521.889785389637,-501.45440045209966,-783.3654242393574,-331.6513922682844,-278.176501409752,-649.6859747281457,28.13022569915549
0.05263157894736842,-392.5351052040124,-235.5251576342171,-523.3415853028365,-503.8266494623166,-786.112648149747,-333.95053324577225,-279.5525730035878,-652.4610258349055,26.66408396672305
0.10526315789473684,-393.94738017651196,-236.3519440622999,-524.7933852160359,-506.19889847253353,-788.8598720601366,-336.2496742232601,-280.9286445974236,-655.2360769416653,25.197942234290576
0.15789473684210525,-395.35965514901164,-237.17873049038278,-526.2451851292354,-508.5711474827504,-791.6070959705261,-338.548815200748,-282.3047161912594,-658.0111280484251,23.73180050185816
0.21052631578947367,-396.77193012151116,-238.0055169184656,-527.6969850424348,-510.94339649296734,-794.3543198809157,-340.8479561782358,-283.6807877850952,-660.7861791551849,22.26565876942573
0.2631578947368421,-398.1842050940108,-238.83230334654849,-529.1487849556343,-513.3156455031842,-797.1015437913052,-343.14709715572366,-285.05685937893105,-663.5612302619447,20.799517036993294
0.3157894736842105,-399.59648006651037,-239.65908977463124,-530.6005848688337,-515.6878945134011,-799.8487677016948,-345.4462381332115,-286.4329309727669,-666.3362813687045,19.333375304560843
0.3684210526315789,-401.00875503901,-240.48587620271405,-532.0523847820332,-518.0601435236181,-802.5959916120843,-347.74537911069933,-287.80900256660266,-669.1113324754642,17.867233572128413
0.42105263157894735,-402.4210300115096,-241.31266263079686,-533.5041846952327,-520.432392533835,-805.3432155224739,-350.04452008818714,-289.1850741604385,-671.886383582224,16.40109183969601
0.47368421052631576,-403.8333049840092,-242.13944905887973,-534.9559846084321,-522.8046415440518,-808.0904394328634,-352.343661065675,-290.5611457542743,-674.6614346889838,14.934950107263536
0.5263157894736842,-405.2455799565088,-242.96623548696257,-536.4077845216315,-525.1768905542688,-810.8376633432529,-354.6428020431629,-291.9372173481101,-677.4364857957436,13.468808374831097
0.5789473684210527,-406.6578549290084,-243.7930219150454,-537.8595844348309,-527.5491395644857,-813.5848872536425,-356.94194302065074,-293.313288941946,-680.2115369025034,12.002666642398669
0.631578947368421,-408.070129901508,-244.6198083431281,-539.3113843480304,-529.9213885747026,-816.332111164032,-359.24108399813855,-294.68936053578176,-682.9865880092631,10.536524909966266
0.6842105263157894,-409.4824048740076,-245.446594771211,-540.7631842612299,-532.2936375849196,-819.0793350744216,-361.5402249756264,-296.06543212961765,-685.7616391160229,9.07038317753379
0.7368421052631579,-410.8946798465072,-246.27338119929382,-542.2149841744293,-534.6658865951364,-821.8265589848111,-363.8393659531142,-297.44150372345337,-688.5366902227828,7.604241445101363
0.7894736842105263,-412.3069548190068,-247.1001676273767,-543.6667840876288,-537.0381356053533,-824.5737828952006,-366.1385069306021,-298.81757531728925,-691.3117413295424,6.138099712668912
0.8421052631578947,-413.71922979150634,-247.92695405545945,-545.1185840008283,-539.4103846155703,-827.3210068055902,-368.4376479080899,-300.193646911125,-694.0867924363023,4.67195798023651
0.894736842105263,-415.131504764006,-248.75374048354234,-546.5703839140277,-541.7826336257872,-830.0682307159798,-370.7367888855778,-301.5697185049609,-696.8618435430622,3.205816247804033
0.9473684210526315,-416.5437797365056,-249.58052691162507,-548.0221838272271,-544.1548826360041,-832.8154546263693,-373.03592986306563,-302.94579009879664,-699.6368946498218,1.7396745153716306
1.0,-417.95605470900523,-250.4073133397079,-549.4739837404265,-546.5271316462208,-835.5626785367588,-375.3350708405534,-304.32186169263247,-702.4119457565815,0.27353278293917893
