,0
0,1434117.637999604
1,1456365.9014766542
2,1478614.1649536882
3,1500862.4284307375
4,1523110.6919077896
5,1545358.9553848454
6,1567607.2188619133
7,1589855.4823389607
8,1612103.7458160277
9,1634352.0092930743
10,1656600.2727701208
11,1678848.5362471724
12,1701096.7997242082
13,1723345.0632012757
14,1745593.3266783315
15,1767841.590155391
16,1790089.8536324268
17,1812338.1171094743
18,1834586.3805865645
19,1856834.644063618
