,0
0,10160620.450024612
1,8336787.945096392
2,6832200.839831289
3,5598551.65807377
4,4593583.188993193
5,3780525.3752655797
6,3127565.9019785766
7,2607348.5842679013
8,2196497.267767502
9,1875165.4043063521
10,1626612.846775528
11,1436811.9088124689
12,1294084.5859432677
13,1188772.2668131096
14,1112938.4816262154
15,1060104.402741054
16,1025016.0441726549
17,1003441.4717808077
18,991995.8656647946
19,987991.9742711685
