,full_id,NFA,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.07631578947368421,npv_DH_25years_ir_0.07631578947368421,savings_npv_25years_ir_0.07631578947368421,operator_selling_price,savings/NFA [€/m2]
0,w24853838,27974.42320393324,trade,3368360.1466045496,3742622.385116166,4210450.183255686,nr2,-4062309.597401618,-6142720.819157222,-2080411.2217556043,0.14894433478777705,-74.36833305156748
1,w24853840,937.1926232803613,trade,270688.823253195,300765.35917021666,338361.0290664937,nr2,-326456.1260526935,-493642.54347526026,-167186.41742256674,0.14894433478777705,-178.39066726473038
2,w24853841,8998.296452549099,trade,1189609.3568609958,1321788.1742899953,1487011.6960762446,nr2,-1434692.638911138,-2169434.9312440595,-734742.2923329214,0.14894433478777705,-81.65348810271512
3,w25538793,404.8852469230536,trade,112752.73275817276,125280.81417574751,140940.91594771593,nr2,-135982.0471924611,-205621.88387980935,-69639.83668734826,0.14894433478777705,-171.9989483849555
4,w27689586,5481.69515059907,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-288518.88118916936,-436276.67850187316,-147757.7973127038,0.14894433478777705,-26.954763673159754
5,w28994179,16672.165487814695,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-726750.9962658357,-1098938.5146717678,-372187.5184059321,0.14894433478777705,-22.323885801034994
6,w28994181,2845.002712316811,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-390931.2593462416,-591137.0189956742,-200205.7596494326,0.14894433478777705,-70.37102593353812
7,w29249266,23411.247439788887,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-3252936.795977039,-4918847.788664801,-1665910.9926877622,0.14894433478777705,-71.15857439772482
8,w30213059,1747.46707642246,ab,354664.9280794791,394072.1423105323,443331.1600993488,r2,-457696.0066454058,-692060.8458440179,-234364.83919861214,0.14894433478777705,-134.11688400929455
9,w50930444,8762.936898044496,other,1082817.2797117848,1203130.310790872,1353521.599639731,nr2,-1305899.2614075458,-1974683.2161441252,-668783.9547365794,0.14894433478777705,-76.31961322074825
10,w50930445,4934.112452852726,other,664237.6418930636,738041.8243256261,830297.0523663294,nr2,-801083.8598531847,-1211339.1128432222,-410255.25299003755,0.14894433478777705,-83.14671724857887
11,w50930458,1974.6456010334193,other,337265.1957843652,374739.10642707243,421581.49473045644,nr2,-406748.5607456367,-615054.7594532445,-208306.1987076078,0.14894433478777705,-105.4904224832
12,w50930471,4724.4749339554455,other,805986.2955036239,895540.3283373598,1007482.8693795298,nr2,-972035.5665943399,-1469839.5010807505,-497803.9344864106,0.14894433478777705,-105.36703897159573
13,w50930472,9715.957844087014,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-1276529.3194579703,-1930272.186028032,-653742.8665700618,0.14894433478777705,-67.28547787678184
14,w50930478,6019.835157379508,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-821180.9897257304,-1241728.48989916,-420547.5001734297,0.14894433478777705,-69.86030168249626
15,w50930479,4489.048651921749,other,605573.605365519,672859.5615172433,756967.0067068987,nr2,-730333.8603769137,-1104356.2538764332,-374022.39349951956,0.14894433478777705,-83.31885495146095
16,w50930480,4441.97852948606,other,571805.8128687943,635339.7920764381,714757.2660859928,nr2,-689609.2283387423,-1042775.5104408755,-353166.28210213326,0.14894433478777705,-79.50652614770627
17,w50930481,1370.623297881335,other,219388.45256825408,243764.94729806008,274235.5657103176,nr2,-264586.8546228644,-400088.45741515537,-135501.60279229097,0.14894433478777705,-98.86130127931209
18,w50930482,1573.369959426485,other,231580.2187222324,257311.35413581377,289475.2734027905,nr2,-279290.3680540238,-422322.0109892386,-143031.6429352148,0.14894433478777705,-90.90782627332723
19,w50930483,704.9254127380437,other,154144.6310888841,171271.81232098234,192680.78886110513,nr2,-185901.503107239,-281106.3524503104,-95204.84934307143,0.14894433478777705,-135.05662815202032
20,w50930486,509.32494937628496,trade,106076.66272902593,117862.95858780658,132595.82841128242,nr2,-127930.57342720267,-193447.0472906961,-65516.47386349342,0.14894433478777705,-128.6339378106734
21,w98916060,2713.01504517002,other,226605.19701500298,251783.55223889218,283256.4962687537,nr2,-273290.3925321272,-413249.2966455651,-139958.90411343786,0.14894433478777705,-51.587957229579935
22,w98916062,151.14776481509907,trade,44628.266224654115,49586.962471837905,55785.33278081764,nr1,-58467.16836059692,-88409.68018674184,-29942.511826144917,0.16179739921108774,-198.10092370716802
23,w98916065,222.67857759937178,other,74365.24956076973,82628.05506752193,92956.56195096216,nr2,-89685.97592166788,-135616.42663396357,-45930.450712295686,0.14894433478777705,-206.26344575871434
24,w98916067,43210.64675020873,trade,3034378.024269405,3371531.1380771166,3792972.530336756,nr2,-3659520.4887933023,-5533653.247163038,-1874132.7583697354,0.14894433478777705,-43.37201359664172
25,w98916074,4745.314506876469,trade,491122.8611791089,545692.0679767877,613903.5764738861,nr2,-592303.9774955108,-895637.7859921148,-303333.808496604,0.14894433478777705,-63.922803864114975
26,w98916075,67.06430839556852,sfh,14372.556497617988,15969.507219575542,17965.695622022486,r1,-20149.198681796563,-30466.666259569545,-10317.467577772983,0.16180385515370468,-153.8443894316629
27,w98916076,98.82164086105185,sfh,30526.14503843407,33917.93893159341,38157.68129804259,r1,-42795.26481393099,-64708.72967041893,-21913.46485648794,0.16180385515370468,-221.747632052572
28,w98916079,3334.9361924076916,trade,503916.8562605286,559907.618067254,629896.0703256608,nr2,-607733.7910386828,-918969.5962874165,-311235.8052487337,0.14894433478777705,-93.32586511169013
29,w98916080,2976.303781049745,other,385409.83654958865,428233.15172176517,481762.2956869858,nr2,-464811.95887756505,-702853.8884915989,-238041.92961403384,0.14894433478777705,-79.97904351352074
30,w98916086,294.4025758753764,other,84265.32015590335,93628.13350655927,105331.65019487918,nr2,-101625.65874748015,-153670.72222855903,-52045.063481078876,0.14894433478777705,-176.78195690485427
31,w98916091,1116.7099465291947,trade,65522.69205707044,72802.99117452271,81903.36507133805,nr2,-79021.67500091765,-119490.66819114304,-40468.99319022539,0.14894433478777705,-36.239484851017565
32,w98916094,150.05011938810347,trade,46278.56665361178,51420.6296151242,57848.20831701472,nr1,-60629.21500026964,-91678.96545096725,-31049.75045069761,0.16179739921108774,-206.9291952403428
33,w98916098,15131.85493721813,trade,1389797.224493673,1544219.1383263033,1737246.5306170913,nr2,-1676123.204697684,-2534508.1801629807,-858384.9754652968,0.14894433478777705,-56.727015889771934
34,w98916102,1892.1415951219387,trade,284238.58921225026,315820.65468027804,355298.2365153128,nr2,-342797.4143657921,-518352.6177632779,-175555.20339748578,0.14894433478777705,-92.78121883165522
35,w98916109,81.43322088830173,sfh,38719.86130122445,43022.068112471614,48399.826626530565,r1,-54282.21335705156,-82077.61034557334,-27795.39698852178,0.16180385515370468,-341.32749122925486
36,w98916113,559.2398283889517,trade,173540.7692960107,192823.07699556745,216925.96162001335,nr2,-209293.63309392272,-316478.182299405,-107184.54920548227,0.14894433478777705,-191.66115102040862
37,w98916116,6987.1012714248145,other,1062734.6846249367,1180816.3162499296,1328418.3557811708,nr2,-1281679.2507165067,-1938059.5269976305,-656380.2762811237,0.14894433478777705,-93.9417149949616
38,w98916121,458.57296650111675,other,80557.30305057266,89508.1145006363,100696.62881321582,nr2,-97153.71607546555,-146908.58490376422,-49754.86882829867,0.14894433478777705,-108.49935007709946
39,w98916126,1235.1179318586364,trade,194117.59848031573,215686.22053368413,242646.99810039465,nr2,-234109.699975535,-354003.1830479404,-119893.48307240536,0.14894433478777705,-97.07047398460699
40,w99055014,379.03616306802724,mfh,138482.6158739089,153869.5731932321,173103.2698423861,r2,-178712.17382141008,-270222.3667712433,-91510.1929498332,0.14894433478777705,-241.42866002315847
41,w99055018,363.825429549627,mfh,74738.71105496878,83043.01228329864,93423.38881871097,r2,-96450.49984761463,-145838.31525174732,-49387.81540413269,0.14894433478777705,-135.74591381715396
42,w99055022,32.828185592684896,sfh,8121.358728508361,9023.731920564845,10151.69841063545,r1,-11385.508946440956,-17215.498578608047,-5829.989632167091,0.16180385515370468,-177.5909794255028
43,w99055023,57.57688737055287,sfh,23689.428722857134,26321.58746984126,29611.785903571417,r1,-33210.72392891375,-50216.3911409056,-17005.66721199185,0.16180385515370468,-295.35579272541975
44,w99055025,2922.078992408514,trade,357208.00610134704,396897.78455705225,446510.0076266838,nr2,-430799.9882129462,-651423.5296544108,-220623.54144146456,0.14894433478777705,-75.50225097084605
45,w99055028,168.94065034445376,ab,43794.80756460522,48660.897294005794,54743.50945575652,r1,-61396.890594691744,-92835.38291841357,-31438.492323721825,0.16180385515370468,-186.0919338218585
46,w99055030,502.22660109587014,other,116326.93155687526,129252.14617430585,145408.66444609407,nr2,-140292.60231455122,-212139.98301915714,-71847.38070460592,0.14894433478777705,-143.05769656133958
47,w99055036,2513.4158389533286,other,328535.37354705296,365039.3039411699,410669.2169338162,nr2,-396220.22080728656,-599134.5910416998,-202914.3702344132,0.14894433478777705,-80.73251035089903
48,w99055038,337.97397138923407,other,86262.38089475907,95847.08988306564,107827.97611844883,nr2,-104034.15387654927,-157312.6684705773,-53278.514594028034,0.14894433478777705,-157.64088096792764
49,w99055039,2475.299022556655,other,312686.9164410429,347429.90715671435,390858.64555130363,nr2,-377106.6650698897,-570232.5012474289,-193125.83617753926,0.14894433478777705,-78.02121457554891
