building_usage,npv_per_nfa
office,-23.308591800536707
education,-93.93273535922167
trade,-120.48556527874118
health,-121.76255467512966
mfh,-126.66493636337145
other,-139.48159482950095
ab,-164.17391257086976
th,-180.34804697210825
sfh,-206.88913732705402
