building_usage,savings_npv_25years_ir_0.05
sfh,-2485.5180709035235
th,-3353.1964464311786
mfh,-5587.170264922069
other,-7217.72496407022
ab,-8143.466719325711
education,-10101.966875657383
office,-13590.46641402971
health,-15335.971052391396
trade,-21092.549624818304
