,full_id,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,NFA,npv_per_nfa
48,w99055038,other,86262.38089475907,95847.08988306564,107827.97611844883,nr2,-133060.0618054206,-170972.19636487402,-37912.13455945341,337.97397138923407,-112.17471689792107
49,w99055039,other,312686.9164410429,347429.90715671435,390858.64555130363,nr2,-482320.79842720146,-619746.0390492534,-137425.240622052,2475.299022556655,-55.51864213969186
50,w99055040,trade,35391.70019666166,39324.111329624066,44239.62524582707,nr1,-59302.80743519024,-76199.65826127856,-16896.850826088317,101.95110847079195,-165.73484172493434
51,w99055041,ab,64982.981209910264,72203.31245545585,81228.72651238783,r2,-107258.14753265315,-137812.13446873057,-30553.986936077417,189.90211718752977,-160.8933454170241
52,w99055043,sfh,86320.99151306404,95912.21279229339,107901.23939133005,r2,-142477.760645754,-183064.54810753308,-40586.78746177908,190.2007592998445,-213.38919787273565
53,w99055048,sfh,24285.63485393199,26984.0387265911,30357.04356741499,r1,-43545.67201477638,-55950.26713849081,-12404.595123714433,47.74609960326925,-259.8033185283489
54,w99055050,trade,65308.77244341692,72565.3027149077,81635.96555427114,nr2,-100739.0383573933,-129442.10617334288,-28703.067815949573,194.95880112051967,-147.22632500292156
55,w99055053,ab,49059.40863841541,54510.454042683785,61324.260798019255,r1,-87966.6078591905,-113025.12927848422,-25058.521419293727,122.33706042193808,-204.83180920701696
56,w99055057,ab,87681.8017174346,97424.2241304829,109602.25214679325,r2,-144723.8561456332,-185950.47539771622,-41226.61925208301,303.91877080444243,-135.65012500860112
57,w99055067,sfh,33001.382887256914,36668.203208063234,41251.72860907114,r1,-59173.5568736789,-76029.97408085852,-16856.41720717962,194.8848727118224,-86.4942310432956
58,w99055068,ab,132493.30677667502,147214.7853074167,165616.63347084375,r2,-218687.82226898547,-280984.1141441705,-62296.29187518501,348.37368724122643,-178.82031323464685
59,w99055094,other,66091.27134448045,73434.74593831161,82614.08918060057,nr2,-101946.04598990016,-130993.02042333504,-29046.97443343488,263.70872883694244,-110.14794452024125
60,w99055100,sfh,15744.323611141372,17493.69290126819,19680.404513926715,r1,-28230.563301673767,-36272.43501174462,-8041.871710070856,85.6876405166462,-93.85101120281861
61,w99055110,sfh,52473.960066172556,58304.40007352506,65592.45008271569,r2,-86611.28876527665,-111283.72854096328,-24672.439775686624,94.65369866762775,-260.66007058343064
62,w99055113,education,153671.86244078857,170746.51382309842,192089.8280509857,nr2,-237039.45221581208,-304577.91181345284,-67538.45959764076,801.3236896117684,-84.28361781037863
63,w99055118,other,24020.58101149931,26689.534457221456,30025.726264374138,nr1,-40249.20764729739,-51717.2120622296,-11468.004414932206,54.3237798044458,-211.10468483994697
64,w99055131,th,174492.9614592318,193881.0682880353,218116.20182403974,r2,-288010.66764153907,-370054.5438318447,-82043.87619030563,500.74276516167447,-163.84435662054184
65,w99055135,ab,134760.33544465396,149733.70604961552,168450.41930581743,r2,-222429.68345792333,-285791.896948514,-63362.21349059066,663.0715527065098,-95.5586365181258
66,w99055142,sfh,30373.370700461764,33748.18966717974,37966.7133755772,r1,-54461.365595776675,-69975.44905901863,-15514.083463241957,64.54166975589469,-240.37313447139368
67,w99055146,sfh,45007.11390865703,50007.90434295226,56258.89238582129,r1,-80700.5883266315,-103689.28222249629,-22988.69389586478,149.08371188635937,-154.19990289340365
68,w99055147,sfh,9628.24002989865,10698.044477665168,12035.300037373312,r1,-17264.040447912168,-22181.944387553085,-4917.903939640917,57.659734526090325,-85.29182418305491
69,w99055152,other,264252.3847284261,293613.76080936234,330315.48091053264,nr2,-407610.3427644949,-523748.70880035753,-116138.36603586265,1635.3717537612654,-71.01649259182248
70,w99055158,trade,144743.79539184985,160826.4393242776,180929.7442398123,nr2,-223267.8736781867,-286882.4666284631,-63614.59295027642,567.1104306213557,-112.17320210558808
71,w99055160,ab,101699.20767706775,112999.1196411864,127124.00959633468,r2,-167860.39079594155,-215677.77628549296,-47817.38548955141,362.3993257842958,-131.94667342734755
72,w99055171,sfh,36534.23113964701,40593.59015516334,45667.78892455876,r1,-65508.17617442358,-84169.09849205229,-18660.922317628712,150.93386064656082,-123.63642086467706
73,w99055172,sfh,34959.915482691984,38844.350536324426,43699.89435336498,r1,-62685.32910215973,-80542.1238588287,-17856.79475666896,71.28885925472714,-250.4850679804486
74,w99055173,ab,103778.03118873315,115308.92354303683,129722.53898591643,r2,-171291.60855106896,-220086.42451911233,-48794.815968043375,413.9677898917347,-117.8710449448367
75,w99055181,other,55355.73112876553,61506.36792085059,69194.66391095691,nr2,-85386.4329836193,-109715.16012310155,-24328.727139482246,184.62117180265486,-131.77647450687667
76,w99055182,sfh,41072.2949799907,45635.88331110078,51340.36872498837,r1,-73645.21030024665,-94624.08085861977,-20978.87055837312,84.81555104400032,-247.34698177566253
77,w99055185,education,27137.63133712484,30152.92370791649,33922.039171406046,nr1,-45472.17897106001,-58428.33835105017,-12956.15937999016,136.9722994968528,-94.58963182762258
78,w99055186,sfh,8077.381808901094,8974.86867655677,10096.727261126367,r1,-14483.254034908634,-18609.011982012562,-4125.757947103928,41.49024544628337,-99.43922728645866
