building_usage,savings_npv_25years_ir_0.05
sfh,-48323.27417171582
th,-65192.61844417578
mfh,-108625.38627922411
other,-140155.05821483157
ab,-158324.72899429337
education,-196161.77709598362
office,-263902.07730371936
health,-297796.5946788847
trade,-409578.8541793598
