building_usage,npv_per_nfa
office,-19.180576545383705
education,-77.29699143100254
trade,-99.14724266566407
health,-100.19807375295912
mfh,-104.22915624051372
other,-114.77902351174369
ab,-135.09428003718583
th,-148.40353854204582
sfh,-170.2434851983424
