scenario,total_dh_cost_at_fred_1,total_customer_deficit_at_fred_1,break_even_fred,price_reduction_pct,subsidy_npv_25yr,subsidy_annual
Booster,186402412.58565682,-17563693.645428978,0.9057753952762925,9.422460472370753,17563693.64542896,1246187.2233940484
HT,231054640.80591717,-62215921.8656893,0.7307306979479807,26.926930205201927,62215921.86568933,4414372.539507527
LT+Reno,234935512.43495506,-146513556.66040307,,,,
