,south G(i) [kWh/m2],south_east G(i) [kWh/m2],east G(i) [kWh/m2],north_east G(i) [kWh/m2],north G(i) [kWh/m2],north_west G(i) [kWh/m2],west G(i) [kWh/m2],south_west G(i) [kWh/m2]
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,11.97,11.97,11.97,11.97,9.12,9.12,9.12,9.12
105,51.12,52.85,47.2,30.55,30.55,30.55,30.55,43.02
106,42.49,42.49,42.49,32.38,32.38,32.38,32.38,42.49
107,47.28,47.28,47.28,36.02,36.02,36.02,36.02,47.28
108,47.88,47.88,36.48,36.48,36.48,36.48,47.88,47.88
109,36.51,36.51,27.82,27.82,27.82,27.82,36.51,36.51
110,23.34,23.34,17.78,17.78,17.78,17.78,23.34,23.34
111,1.8,1.37,1.37,1.37,1.37,1.8,1.8,1.8
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,58.33,75.0,58.78,19.18,14.14,14.14,14.14,14.14
129,153.31,169.77,116.98,38.3,38.3,38.3,38.3,77.23
130,70.76,70.15,62.24,43.78,43.78,43.78,43.78,63.71
131,52.07,52.07,52.07,39.67,39.67,39.67,39.67,52.07
132,46.08,46.08,35.11,35.11,35.11,35.11,46.08,46.08
133,35.91,35.91,27.36,27.36,27.36,27.36,35.91,35.91
134,25.74,25.74,19.61,19.61,19.61,19.61,25.74,25.74
135,2.39,1.82,1.82,1.82,1.82,2.39,2.39,2.39
136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,57.76,74.33,58.41,19.32,14.14,14.14,14.14,14.14
153,653.35,754.63,435.32,21.43,21.43,21.43,21.43,190.81
154,749.3,717.95,297.49,32.38,32.38,32.38,32.38,373.18
155,827.05,649.63,125.88,34.2,34.2,34.2,34.2,554.21
156,343.74,237.75,62.47,62.47,62.47,62.47,129.07,298.72
157,192.78,118.17,51.07,51.07,51.07,51.07,123.01,194.79
158,527.83,121.16,21.43,21.43,21.43,21.43,404.61,645.24
159,4.79,3.65,3.65,3.65,3.65,4.79,4.79,4.79
160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,8.38,8.38,8.38,8.38,6.38,6.38,6.38,6.38
177,14.96,14.96,14.96,11.4,11.4,11.4,11.4,14.96
178,26.93,26.93,26.93,20.52,20.52,20.52,20.52,26.93
179,20.95,20.95,20.95,15.96,15.96,15.96,15.96,20.95
180,14.36,14.36,10.94,10.94,10.94,10.94,14.36,14.36
181,33.52,33.52,25.54,25.54,25.54,25.54,33.52,33.52
182,119.53,54.46,30.1,30.1,30.1,30.1,99.72,138.28
183,1.2,0.91,0.91,0.91,0.91,1.2,1.2,1.2
184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
