building_usage,savings_npv_25years_ir_0.05
office,369016.70011770434
trade,215442.44480774325
education,57232.12282620419
mfh,23490.494145639863
other,2869.1562639687727
ab,-5629.64715894748
th,-8882.95843490325
sfh,-22609.423512282385
health,-66102.07130313135
