building_usage,npv_per_nfa
office,67.31799014350081
mfh,14.605439870706373
health,-55.82400425080745
education,-57.959624470853974
ab,-68.71067482398206
trade,-95.79938976811171
th,-120.89682859331279
other,-140.9265146639481
sfh,-298.3058890749234
