electricity_multiplier,gas_multiplier,average_savings
0.1,0.1,-170098.0776216717
0.1,0.6444444444444445,-123542.71459100203
0.1,1.188888888888889,-76987.35156033236
0.1,1.7333333333333336,-30431.988529662714
0.1,2.277777777777778,16123.374501006947
0.1,2.8222222222222224,62678.73753167658
0.1,3.366666666666667,109234.10056234626
0.1,3.911111111111112,155789.46359301594
0.1,4.455555555555556,202344.82662368554
0.1,5.0,248900.1896543551
0.6444444444444445,0.1,-198256.91085192328
0.6444444444444445,0.6444444444444445,-151701.54782125368
0.6444444444444445,1.188888888888889,-105146.18479058397
0.6444444444444445,1.7333333333333336,-58590.82175991433
0.6444444444444445,2.277777777777778,-12035.458729244667
0.6444444444444445,2.8222222222222224,34519.90430142496
0.6444444444444445,3.366666666666667,81075.26733209463
0.6444444444444445,3.911111111111112,127630.6303627643
0.6444444444444445,4.455555555555556,174185.99339343392
0.6444444444444445,5.0,220741.3564241035
1.188888888888889,0.1,-226415.7440821749
1.188888888888889,0.6444444444444445,-179860.38105150528
1.188888888888889,1.188888888888889,-133305.01802083562
1.188888888888889,1.7333333333333336,-86749.65499016596
1.188888888888889,2.277777777777778,-40194.291959496295
1.188888888888889,2.8222222222222224,6361.07107117333
1.188888888888889,3.366666666666667,52916.434101843
1.188888888888889,3.911111111111112,99471.79713251267
1.188888888888889,4.455555555555556,146027.16016318227
1.188888888888889,5.0,192582.52319385187
1.7333333333333336,0.1,-254574.57731242655
1.7333333333333336,0.6444444444444445,-208019.2142817569
1.7333333333333336,1.188888888888889,-161463.85125108724
1.7333333333333336,1.7333333333333336,-114908.4882204176
1.7333333333333336,2.277777777777778,-68353.12518974794
1.7333333333333336,2.8222222222222224,-21797.762159078302
1.7333333333333336,3.366666666666667,24757.600871591367
1.7333333333333336,3.911111111111112,71312.96390226104
1.7333333333333336,4.455555555555556,117868.32693293063
1.7333333333333336,5.0,164423.68996360022
2.277777777777778,0.1,-282733.41054267815
2.277777777777778,0.6444444444444445,-236178.04751200852
2.277777777777778,1.188888888888889,-189622.68448133883
2.277777777777778,1.7333333333333336,-143067.3214506692
2.277777777777778,2.277777777777778,-96511.95841999952
2.277777777777778,2.8222222222222224,-49956.595389329894
2.277777777777778,3.366666666666667,-3401.2323586602165
2.277777777777778,3.911111111111112,43154.13067200944
2.277777777777778,4.455555555555556,89709.49370267906
2.277777777777778,5.0,136264.85673334866
2.8222222222222224,0.1,-310892.2437729298
2.8222222222222224,0.6444444444444445,-264336.8807422601
2.8222222222222224,1.188888888888889,-217781.51771159042
2.8222222222222224,1.7333333333333336,-171226.1546809208
2.8222222222222224,2.277777777777778,-124670.79165025112
2.8222222222222224,2.8222222222222224,-78115.42861958146
2.8222222222222224,3.366666666666667,-31560.065588911802
2.8222222222222224,3.911111111111112,14995.297441757848
2.8222222222222224,4.455555555555556,61550.66047242747
2.8222222222222224,5.0,108106.02350309707
3.366666666666667,0.1,-339051.0770031814
3.366666666666667,0.6444444444444445,-292495.71397251176
3.366666666666667,1.188888888888889,-245940.3509418421
3.366666666666667,1.7333333333333336,-199384.98791117241
3.366666666666667,2.277777777777778,-152829.62488050276
3.366666666666667,2.8222222222222224,-106274.26184983313
3.366666666666667,3.366666666666667,-59718.898819163456
3.366666666666667,3.911111111111112,-13163.535788493804
3.366666666666667,4.455555555555556,33391.827242175816
3.366666666666667,5.0,79947.1902728454
3.911111111111112,0.1,-367209.910233433
3.911111111111112,0.6444444444444445,-320654.54720276326
3.911111111111112,1.188888888888889,-274099.18417209364
3.911111111111112,1.7333333333333336,-227543.821141424
3.911111111111112,2.277777777777778,-180988.45811075432
3.911111111111112,2.8222222222222224,-134433.0950800847
3.911111111111112,3.366666666666667,-87877.73204941502
3.911111111111112,3.911111111111112,-41322.36901874537
3.911111111111112,4.455555555555556,5232.994011924244
3.911111111111112,5.0,51788.35704259383
4.455555555555556,0.1,-395368.7434636845
4.455555555555556,0.6444444444444445,-348813.3804330148
4.455555555555556,1.188888888888889,-302258.01740234526
4.455555555555556,1.7333333333333336,-255702.65437167557
4.455555555555556,2.277777777777778,-209147.2913410059
4.455555555555556,2.8222222222222224,-162591.92831033628
4.455555555555556,3.366666666666667,-116036.56527966661
4.455555555555556,3.911111111111112,-69481.20224899694
4.455555555555556,4.455555555555556,-22925.839218327324
4.455555555555556,5.0,23629.52381234226
5.0,0.1,-423527.57669393613
5.0,0.6444444444444445,-376972.21366326645
5.0,1.188888888888889,-330416.8506325969
5.0,1.7333333333333336,-283861.4876019272
5.0,2.277777777777778,-237306.12457125753
5.0,2.8222222222222224,-190750.76154058788
5.0,3.366666666666667,-144195.39850991822
5.0,3.911111111111112,-97640.03547924853
5.0,4.455555555555556,-51084.672448578924
5.0,5.0,-4529.309417909347
