building_usage,npv_per_nfa
sfh,512.6280954823782
th,446.8648138695142
ab,406.78868507269
other,345.53981222316713
mfh,313.8492717948072
health,301.6441726930886
trade,298.4806680258356
education,232.70095081225008
office,57.74271826895145
