building_usage,savings_npv_25years_ir_0.05
trade,491254.81755698664
health,357181.5544071116
office,316527.9787173195
education,235279.2802548885
ab,189920.0774121693
other,168104.00940001855
mfh,130302.71330400085
th,78202.48435142532
sfh,57966.686757016614
