,full_id,building_usage,yearly_demand_useful_renovated,yearly_demand_delivered_renovated,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,consumer_size_renovated,consumer_size_unrenovated,npv_unrenovated_25years_ir_0.05_gas,npv_renovated_25years_ir_0.05_dh,savings_npv_25years_ir_0.05,NFA
0,w24853838,trade,1197392.8826751309,1496741.1033439136,3368360.1466045496,3742622.385116166,nr2,nr2,-5195708.774105346,-5726725.274680502,-531016.500575156,27974.42320393324
1,w24853840,trade,88019.54120636193,110024.4265079524,270688.823253195,300765.35917021666,nr2,nr2,-417538.5745038599,-540849.1042706635,-123310.52976680355,937.1926232803613
2,w24853841,trade,370411.49455784855,463014.36819731066,1189609.3568609958,1321788.1742899953,nr2,nr2,-1834977.1117649244,-2316130.1040892247,-481152.99232430034,8998.296452549099
3,w25538793,trade,30724.044681390333,38405.05585173791,112752.73275817276,125280.81417574751,nr1,nr2,-173921.53374292093,-260894.2621868731,-86972.72844395216,404.8852469230536
4,w27689586,office,239232.2588022705,299040.3235028381,239232.2588022705,265813.6208914117,nr2,nr2,-369016.70011770434,-313432.6700209835,55584.030096720846,5481.69515059907
5,w28994179,other,602602.7887910821,753253.4859888526,602602.7887910821,669558.6542123135,nr2,nr2,-929517.1717841114,-789506.4068637516,140010.76492035983,16672.165487814695
6,w28994181,trade,324149.90597616514,405187.3824702064,324149.90597616514,360166.56219573907,nr2,nr2,-500002.504869771,-424688.4221460018,75314.08272376924,2845.002712316811
7,w29249266,trade,2697249.5326306587,3371561.915788323,2697249.5326306587,2996943.9251451762,nr2,nr2,-4160518.012531257,-3533829.9565361687,626688.0559950881,23411.247439788887
8,w30213059,ab,186541.77691087977,233177.2211385997,354664.9280794791,394072.1423105323,r2,r2,-585394.8598899484,-732157.0467970273,-146762.18690707895,1747.46707642246
9,w50930444,other,330222.16830016905,412777.7103752113,1082817.2797117848,1203130.310790872,nr2,nr2,-1670249.912742452,-2229138.2235677005,-558888.3108252485,8762.936898044496
10,w50930445,other,202146.16980193532,252682.71225241915,664237.6418930636,738041.8243256261,nr2,nr2,-1024589.1751075892,-1543071.6990514488,-518482.5239438596,4934.112452852726
11,w50930458,other,60554.61203303029,75693.26504128786,337265.1957843652,374739.10642707243,nr2,nr2,-520232.89098216186,-829449.0925095818,-309216.20152741997,1974.6456010334193
12,w50930471,other,258143.60911438576,322679.5113929822,805986.2955036239,895540.3283373598,nr2,nr2,-1243237.0308080602,-1590300.7377128482,-347063.70690478804,4724.4749339554455
