building_usage,npv_per_nfa
office,10.139934558499904
education,-144.5737206094588
health,-145.55282275315227
mfh,-150.36953843928933
trade,-193.66007501943244
ab,-234.87614283262866
other,-242.59981136139874
th,-315.70449313777476
sfh,-494.74978848820797
