building_usage,savings_npv_25years_ir_0.05
office,55584.030096720846
sfh,-45511.764184162006
th,-45912.4141771524
mfh,-48945.82709626924
other,-66682.56963311642
education,-74466.94781605035
trade,-78953.45710875928
ab,-91665.56390609214
health,-172351.3602638375
