,time,G(i),H_sun,T2m,WS10m,Int
108,20190105:1210,51.98,16.74,5.59,4.55,0.0
109,20190105:1310,25.08,13.97,5.64,4.55,0.0
110,20190105:1410,20.06,9.11,5.69,4.48,0.0
111,20190105:1510,1.37,2.54,5.71,4.48,0.0
112,20190105:1610,0.0,0.0,5.67,4.34,0.0
113,20190105:1710,0.0,0.0,5.65,4.28,0.0
114,20190105:1810,0.0,0.0,5.64,4.28,0.0
115,20190105:1910,0.0,0.0,5.07,4.34,0.0
116,20190105:2010,0.0,0.0,4.99,4.21,0.0
117,20190105:2110,0.0,0.0,4.94,4.07,0.0
118,20190105:2210,0.0,0.0,4.92,3.93,0.0
119,20190105:2310,0.0,0.0,4.91,3.86,0.0
120,20190106:0010,0.0,0.0,4.9,3.86,0.0
121,20190106:0110,0.0,0.0,4.89,3.86,0.0
122,20190106:0210,0.0,0.0,4.89,3.79,0.0
123,20190106:0310,0.0,0.0,4.87,3.86,0.0
124,20190106:0410,0.0,0.0,4.83,3.86,0.0
125,20190106:0510,0.0,0.0,4.85,3.79,0.0
126,20190106:0610,0.0,0.0,4.89,3.72,0.0
127,20190106:0710,0.0,0.0,4.34,3.59,0.0
128,20190106:0810,19.34,4.98,4.33,3.45,0.0
129,20190106:0910,34.2,11.03,4.44,3.38,0.0
130,20190106:1010,51.07,15.25,4.59,3.52,0.0
131,20190106:1110,62.47,17.26,4.84,3.59,0.0
132,20190106:1210,60.19,16.87,4.93,3.17,0.0
133,20190106:1310,39.22,14.11,5.04,3.03,0.0
134,20190106:1410,25.08,9.26,5.11,2.97,0.0
135,20190106:1510,0.91,2.69,5.09,2.97,0.0
136,20190106:1610,0.0,0.0,4.96,2.97,0.0
137,20190106:1710,0.0,0.0,4.82,3.03,0.0
138,20190106:1810,0.0,0.0,4.73,3.03,0.0
139,20190106:1910,0.0,0.0,4.52,2.55,0.0
140,20190106:2010,0.0,0.0,4.47,2.41,0.0
141,20190106:2110,0.0,0.0,4.38,2.48,0.0
142,20190106:2210,0.0,0.0,4.25,2.55,0.0
143,20190106:2310,0.0,0.0,4.14,2.34,0.0
144,20190107:0010,0.0,0.0,4.02,2.14,0.0
145,20190107:0110,0.0,0.0,4.0,2.0,0.0
146,20190107:0210,0.0,0.0,3.97,2.0,0.0
147,20190107:0310,0.0,0.0,3.93,1.93,0.0
148,20190107:0410,0.0,0.0,3.95,1.86,0.0
149,20190107:0510,0.0,0.0,3.93,1.93,0.0
150,20190107:0610,0.0,0.0,3.89,1.93,0.0
151,20190107:0710,0.0,0.0,3.64,1.66,0.0
152,20190107:0810,20.3,5.03,3.65,1.72,0.0
153,20190107:0910,36.02,11.11,3.92,2.14,0.0
154,20190107:1010,50.16,15.35,4.31,2.14,0.0
155,20190107:1110,63.84,17.38,4.49,1.93,0.0
156,20190107:1210,62.47,17.0,4.55,2.07,0.0
157,20190107:1310,50.16,14.26,4.57,2.34,0.0
158,20190107:1410,27.82,9.41,4.45,2.55,0.0
159,20190107:1510,1.82,2.84,4.32,2.48,0.0
160,20190107:1610,0.0,0.0,3.84,2.48,0.0
161,20190107:1710,0.0,0.0,3.76,2.83,0.0
162,20190107:1810,0.0,0.0,3.74,3.24,0.0
163,20190107:1910,0.0,0.0,3.92,3.72,0.0
164,20190107:2010,0.0,0.0,3.67,4.0,0.0
165,20190107:2110,0.0,0.0,3.78,4.48,0.0
166,20190107:2210,0.0,0.0,3.98,4.9,0.0
167,20190107:2310,0.0,0.0,4.19,5.1,0.0
168,20190108:0010,0.0,0.0,4.5,5.24,0.0
169,20190108:0110,0.0,0.0,4.88,5.24,0.0
170,20190108:0210,0.0,0.0,5.21,5.24,0.0
171,20190108:0310,0.0,0.0,5.51,4.97,0.0
172,20190108:0410,0.0,0.0,5.85,4.69,0.0
173,20190108:0510,0.0,0.0,5.77,4.34,0.0
174,20190108:0610,0.0,0.0,5.48,4.28,0.0
175,20190108:0710,0.0,0.0,5.2,4.48,0.0
176,20190108:0810,7.18,5.1,5.08,5.03,0.0
177,20190108:0910,34.66,11.2,5.14,5.52,0.0
178,20190108:1010,50.16,15.45,5.59,5.66,0.0
179,20190108:1110,53.81,17.5,5.81,5.86,0.0
180,20190108:1210,26.9,17.14,6.19,5.72,0.0
181,20190108:1310,16.42,14.41,6.08,6.48,0.0
182,20190108:1410,6.38,9.57,5.63,6.34,0.0
183,20190108:1510,4.56,3.01,5.46,5.79,0.0
184,20190108:1610,0.0,0.0,5.15,5.66,0.0
185,20190108:1710,0.0,0.0,4.82,5.86,0.0
186,20190108:1810,0.0,0.0,4.78,6.14,0.0
187,20190108:1910,0.0,0.0,4.04,5.79,0.0
188,20190108:2010,0.0,0.0,3.99,5.93,0.0
189,20190108:2110,0.0,0.0,3.89,5.86,0.0
190,20190108:2210,0.0,0.0,3.73,5.79,0.0
191,20190108:2310,0.0,0.0,3.61,5.66,0.0
192,20190109:0010,0.0,0.0,3.62,5.72,0.0
193,20190109:0110,0.0,0.0,3.35,5.59,0.0
194,20190109:0210,0.0,0.0,3.04,5.52,0.0
195,20190109:0310,0.0,0.0,2.8,5.1,0.0
196,20190109:0410,0.0,0.0,2.78,5.1,0.0
197,20190109:0510,0.0,0.0,2.46,4.97,0.0
198,20190109:0610,0.0,0.0,2.09,4.83,0.0
199,20190109:0710,0.0,0.0,1.94,4.62,0.0
200,20190109:0810,25.18,5.17,1.89,4.48,0.0
201,20190109:0910,35.57,11.29,2.17,4.69,0.0
202,20190109:1010,51.53,15.56,2.57,4.0,0.0
203,20190109:1110,62.02,17.63,2.81,4.69,0.0
204,20190109:1210,46.97,17.29,3.15,5.17,0.0
