,time,G(i),H_sun,T2m,WS10m,Int
5655,20200823:1510,91.66,30.49,23.36,4.62,0.0
5656,20200823:1610,48.79,21.16,23.02,4.62,0.0
5657,20200823:1710,71.42,11.56,22.26,4.0,0.0
5658,20200823:1810,0.0,0.0,21.41,3.24,0.0
5659,20200823:1910,0.0,0.0,20.19,3.03,0.0
5660,20200823:2010,0.0,0.0,19.6,2.69,0.0
5661,20200823:2110,0.0,0.0,19.15,2.34,0.0
5662,20200823:2210,0.0,0.0,18.65,1.93,0.0
5663,20200823:2310,0.0,0.0,18.0,1.72,0.0
5664,20200824:0010,0.0,0.0,17.4,1.79,0.0
5665,20200824:0110,0.0,0.0,17.07,1.79,0.0
5666,20200824:0210,0.0,0.0,16.7,1.79,0.0
5667,20200824:0310,0.0,0.0,16.38,1.86,0.0
5668,20200824:0410,0.0,0.0,16.06,2.0,0.0
5669,20200824:0510,10.77,5.87,16.01,2.0,0.0
5670,20200824:0610,17.95,15.44,16.27,2.21,0.0
5671,20200824:0710,79.34,24.97,17.39,2.97,0.0
5672,20200824:0810,87.55,34.03,18.53,3.52,0.0
5673,20200824:0910,126.77,41.99,19.42,4.0,0.0
5674,20200824:1010,160.51,47.98,20.41,4.62,0.0
5675,20200824:1110,172.83,50.92,21.21,4.76,0.0
5676,20200824:1210,172.37,50.08,21.52,4.55,0.0
5677,20200824:1310,140.45,45.68,21.77,4.41,0.0
5678,20200824:1410,137.26,38.71,21.74,4.21,0.0
5679,20200824:1510,82.54,30.18,21.49,4.07,0.0
5680,20200824:1610,71.59,20.86,21.27,3.86,0.0
5681,20200824:1710,68.01,11.26,21.02,3.24,0.0
5682,20200824:1810,0.0,0.0,20.6,2.28,0.0
5683,20200824:1910,0.0,0.0,19.58,1.79,0.0
5684,20200824:2010,0.0,0.0,18.83,1.72,0.0
5685,20200824:2110,0.0,0.0,17.94,1.59,0.0
5686,20200824:2210,0.0,0.0,16.82,1.17,0.0
5687,20200824:2310,0.0,0.0,16.46,0.83,0.0
5688,20200825:0010,0.0,0.0,15.77,0.9,0.0
5689,20200825:0110,0.0,0.0,15.62,0.83,0.0
5690,20200825:0210,0.0,0.0,15.11,0.9,0.0
5691,20200825:0310,0.0,0.0,14.28,1.03,0.0
5692,20200825:0410,0.0,0.0,13.81,1.03,0.0
5693,20200825:0510,52.49,5.65,13.31,1.03,0.0
5694,20200825:0610,49.25,15.23,14.39,0.9,0.0
5695,20200825:0710,79.8,24.75,17.44,1.24,0.0
5696,20200825:0810,98.95,33.79,19.09,1.66,0.0
5697,20200825:0910,144.1,41.72,19.97,2.21,0.0
5698,20200825:1010,142.27,47.67,20.71,2.69,0.0
5699,20200825:1110,114.91,50.59,21.84,3.38,0.0
5700,20200825:1210,169.63,49.73,22.9,3.93,0.0
5701,20200825:1310,72.05,45.34,23.63,4.0,0.0
5702,20200825:1410,81.62,38.38,24.17,4.28,0.0
5703,20200825:1510,41.5,29.87,24.13,4.34,0.0
5704,20200825:1610,23.26,20.55,24.0,4.14,0.0
5705,20200825:1710,44.5,10.95,23.41,3.59,0.0
5706,20200825:1810,0.0,0.0,23.02,3.66,0.0
5707,20200825:1910,0.0,0.0,22.12,3.66,0.0
5708,20200825:2010,0.0,0.0,21.58,3.86,0.0
5709,20200825:2110,0.0,0.0,21.35,4.21,0.0
5710,20200825:2210,0.0,0.0,21.4,4.62,0.0
5711,20200825:2310,0.0,0.0,21.92,4.97,0.0
5712,20200826:0010,0.0,0.0,22.1,5.1,0.0
5713,20200826:0110,0.0,0.0,22.03,5.31,0.0
5714,20200826:0210,0.0,0.0,21.39,5.59,0.0
5715,20200826:0310,0.0,0.0,20.4,5.79,0.0
5716,20200826:0410,0.0,0.0,19.7,6.21,0.0
5717,20200826:0510,10.17,5.43,18.94,6.41,0.0
5718,20200826:0610,45.6,15.01,18.82,6.83,0.0
5719,20200826:0710,74.78,24.53,19.06,7.59,0.0
5720,20200826:0810,113.55,33.55,18.98,7.79,0.0
5721,20200826:0910,95.3,41.45,19.3,8.14,0.0
5722,20200826:1010,77.98,47.37,19.66,8.28,0.0
5723,20200826:1110,69.77,50.25,20.2,8.55,0.0
5724,20200826:1210,149.11,49.38,20.66,8.21,0.0
5725,20200826:1310,72.5,44.99,20.86,8.14,0.0
5726,20200826:1410,86.64,38.05,21.41,7.52,0.0
5727,20200826:1510,51.53,29.55,21.68,7.38,0.0
5728,20200826:1610,42.41,20.24,21.44,6.9,0.0
5729,20200826:1710,42.23,10.64,21.13,6.07,0.0
5730,20200826:1810,0.0,0.0,20.63,5.03,0.0
5731,20200826:1910,0.0,0.0,19.77,4.76,0.0
5732,20200826:2010,0.0,0.0,19.11,4.34,0.0
5733,20200826:2110,0.0,0.0,18.4,3.72,0.0
5734,20200826:2210,0.0,0.0,17.56,3.17,0.0
5735,20200826:2310,0.0,0.0,16.83,2.9,0.0
5736,20200827:0010,0.0,0.0,16.24,2.69,0.0
5737,20200827:0110,0.0,0.0,15.89,2.34,0.0
5738,20200827:0210,0.0,0.0,15.34,2.07,0.0
5739,20200827:0310,0.0,0.0,14.69,1.86,0.0
5740,20200827:0410,0.0,0.0,14.06,1.66,0.0
5741,20200827:0510,26.84,5.21,13.34,1.52,0.0
5742,20200827:0610,41.04,14.79,14.47,1.1,0.0
5743,20200827:0710,69.31,24.31,17.0,1.17,0.0
5744,20200827:0810,111.72,33.31,18.36,1.52,0.0
5745,20200827:0910,129.51,41.18,19.53,2.07,0.0
5746,20200827:1010,111.72,47.06,20.11,2.28,0.0
5747,20200827:1110,146.83,49.9,20.99,2.21,0.0
5748,20200827:1210,170.09,49.02,21.59,2.48,0.0
5749,20200827:1310,119.02,44.64,22.19,2.34,0.0
5750,20200827:1410,73.42,37.72,23.27,2.76,0.0
5751,20200827:1510,62.47,29.23,23.67,2.62,0.0
5752,20200827:1610,46.06,19.93,23.69,2.55,0.0
5753,20200827:1710,59.81,10.33,23.36,2.07,0.0
5754,20200827:1810,0.0,0.0,22.02,1.93,0.0
5755,20200827:1910,0.0,0.0,20.52,2.62,0.0
5756,20200827:2010,0.0,0.0,19.69,2.97,0.0
5757,20200827:2110,0.0,0.0,19.1,2.97,0.0
5758,20200827:2210,0.0,0.0,18.79,2.97,0.0
5759,20200827:2310,0.0,0.0,18.48,2.9,0.0
5760,20200828:0010,0.0,0.0,18.38,2.83,0.0
5761,20200828:0110,0.0,0.0,17.95,2.62,0.0
5762,20200828:0210,0.0,0.0,17.45,2.76,0.0
5763,20200828:0310,0.0,0.0,16.45,2.97,0.0
5764,20200828:0410,0.0,0.0,15.98,3.03,0.0
5765,20200828:0510,45.66,4.99,15.92,3.1,0.0
5766,20200828:0610,39.67,14.58,16.36,3.17,0.0
5767,20200828:0710,80.71,24.09,18.3,3.1,0.0
5768,20200828:0810,79.34,33.07,19.64,3.52,0.0
5769,20200828:0910,92.57,40.91,20.83,4.48,0.0
5770,20200828:1010,160.97,46.75,21.14,4.28,0.0
5771,20200828:1110,171.91,49.56,21.27,4.28,0.0
5772,20200828:1210,104.43,48.66,21.41,4.48,0.0
5773,20200828:1310,155.95,44.29,21.11,4.34,0.0
5774,20200828:1410,129.96,37.38,20.88,4.0,0.0
