,0
0,-230894798.97308913
1,-204273304.78630576
2,-177651810.5995223
3,-151030316.41273886
4,-124408822.2259554
5,-97787328.03917195
6,-71165833.8523885
7,-44544339.66560507
8,-17922845.478821635
9,8698648.707961772
10,35320142.89474532
11,61941637.08152872
12,88563131.2683122
13,115184625.45509565
14,141806119.6418791
15,168427613.82866248
16,195049108.01544598
17,221670602.20222947
18,248292096.38901293
19,274913590.5757964
