building_usage,npv_per_nfa
office,-52.65593866403187
education,-212.20142314672236
trade,-272.18635040288103
health,-275.0711696963958
mfh,-286.16788892554985
other,-315.0998723970288
ab,-370.9100823472998
th,-407.45151227801404
sfh,-467.41449820545535
