,full_id,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,NFA,npv_per_nfa
0,w24853838,trade,3368360.1466045496,3742622.385116166,4210450.183255686,nr2,-5195708.774105346,-9259777.263706211,-4064068.489600865,27974.42320393324,-145.27800841410922
1,w24853840,trade,270688.823253195,300765.35917021666,338361.0290664937,nr2,-417538.5745038599,-744136.0489987988,-326597.4744949389,937.1926232803613,-348.4848966819463
2,w24853841,trade,1189609.3568609958,1321788.1742899953,1487011.6960762446,nr2,-1834977.1117649244,-3270290.941560311,-1435313.8297953864,8998.296452549099,-159.50950686768948
3,w25538793,trade,112752.73275817276,125280.81417574751,140940.91594771593,nr2,-173921.53374292093,-309962.458220904,-136040.92447798306,404.8852469230536,-335.9987194194728
4,w27689586,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-369016.70011770434,-657660.5037425699,-288643.8036248656,5481.69515059907,-52.65593866403187
5,w28994179,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-929517.1717841114,-1656582.835513733,-727065.6637296217,16672.165487814695,-43.609551756250106
6,w28994181,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-500002.504869771,-891103.0289965569,-391100.52412678587,2845.002712316811,-137.46929745746903
7,w29249266,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-4160518.012531257,-7414863.259789004,-3254345.247257747,23411.247439788887,-139.00776776750405
8,w30213059,ab,354664.9280794791,394072.1423105323,443331.1600993488,r2,-585394.8598899484,-1043239.5471176477,-457844.6872276993,1747.46707642246,-262.0047572884931
9,w50930444,other,1082817.2797117848,1203130.310790872,1353521.599639731,nr2,-1670249.912742452,-2976714.600287229,-1306464.6875447768,8762.936898044496,-149.08982031313298
10,w50930445,other,664237.6418930636,738041.8243256261,830297.0523663294,nr2,-1024589.1751075892,-1826019.886946881,-801430.7118392917,4934.112452852726,-162.42651935829582
11,w50930458,other,337265.1957843652,374739.10642707243,421581.49473045644,nr2,-520232.89098216186,-927157.5650577648,-406924.6740756029,1974.6456010334193,-206.0747882367556
12,w50930471,other,805986.2955036239,895540.3283373598,1007482.8693795298,nr2,-1243237.0308080602,-2215693.4677803176,-972456.4369722574,4724.4749339554455,-205.8337594264879
13,w50930472,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-1632685.6499939947,-2909767.679039521,-1277082.0290455264,9715.957844087014,-131.441701326724
14,w50930478,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-1050293.4774285918,-1871830.0207630186,-821536.5433344268,6019.835157379508,-136.47160127421986
15,w50930479,other,605573.605365519,672859.5615172433,756967.0067068987,nr2,-934099.6680345847,-1664749.7471779573,-730650.0791433726,4489.048651921749,-162.762789133636
16,w50930480,other,571805.8128687943,635339.7920764381,714757.2660859928,nr2,-882012.7152975801,-1571920.529517869,-689907.8142202889,4441.97852948606,-155.31543199514556
17,w50930481,other,219388.45256825408,243764.94729806008,274235.5657103176,nr2,-338407.55095482233,-603108.9659634628,-264701.4150086405,1370.623297881335,-193.12484722666494
