building_usage,savings_npv_25years_ir_0.05
sfh,-52854.047684741294
th,-71305.0558556402
mfh,-118810.06501699341
other,-153295.0763924255
ab,-173169.20095691847
education,-214552.61756668155
office,-288643.8036248656
health,-325716.0484406473
trade,-447978.27877112484
