building_type,roof_uvalue,wall_uvalue,floor_uvalue,roof_surface,wall_surface,floor_surface,window_uvalue,windows_total_area,window_shgc,window_east_surface,window_south_surface,window_west_surface,window_north_surface,door_uvalue,door_surface,windows_to_walls_ratio
office7,0.167093047,0.219013641,0.35,,353.0996995,73.67543837,1.201985137,113.6339142,0.65,,,,,,,0.321818213
trade1,1.037855443,1.374108642,0.95,,309.2366901,95.08251909,2.679910213,81.74544503,0.65,,,,,,,0.26434588
trade2,1.034646183,1.371977601,0.948376292,,309.3719659,95.25646456,2.678267902,81.7537702,0.65,,,,,,,0.264257202
trade3,1.153119104,1.366351193,0.899413397,,382.8546923,171.3201754,2.498373289,84.95948005,0.65,,,,,,,0.22191051
trade4,0.923338029,1.20423294,0.776476088,,421.8766458,216.5575781,2.359374229,87.00802753,0.65,,,,,,,0.206240446
trade5,0.898645071,1.059162948,0.719485275,,432.528159,228.9809428,2.118519338,87.57258187,0.65,,,,,,,0.202466776
trade6,0.884558465,0.920946744,0.668154123,,441.6813754,239.673387,1.883256938,88.05891027,0.65,,,,,,,0.199372025
trade7,0.170315254,0.251383052,0.35,,367.5768551,157.7961745,1.254485528,84.45664878,0.65,,,,,,,0.229765959
education1,1,1.5,0.95,,1464.00195,1118.22595,2.9,219.60001,0.65,,,,,,,0.149999807
education2,0.995724495,1.496583414,0.947709551,,1464.00195,1118.22595,2.895934453,219.60001,0.65,,,,,,,0.149999807
education3,0.776,1.321,0.83,,1464.00195,1118.22595,2.687,219.60001,0.65,,,,,,,0.149999807
education4,0.372151297,0.987148012,0.61055541,,1464.002118,1118.22595,2.286341651,219.60001,0.65,,,,,,,0.14999979
education5,0.332,0.699,0.513,,1464.002125,1118.22595,1.843,219.60001,0.65,,,,,,,0.149999789
education6,0.301773849,0.369346042,0.406263905,,1464.002834,1118.22595,1.330100003,219.60001,0.65,,,,,,,0.149999716
education7,0.165,0.266,0.35,,1464.00195,1118.22595,1.3,219.60001,0.65,,,,,,,0.149999807
health1,1,1.5,0.95,,2783.360745,1944.76196,2.9,417.504,0.65,,,,,,,0.14999996
health2,0.997276126,1.497827585,0.948546153,,2783.36075,1944.76196,2.897409813,417.504,0.65,,,,,,,0.14999996
health3,0.837,1.37,0.863,,2783.36108,1944.76196,2.745,417.504,0.65,,,,,,,0.149999942
health4,0.38035005,0.992813109,0.614707352,,2783.360501,1944.76196,2.292689781,417.504,0.65,,,,,,,0.149999973
health5,0.33,0.683,0.508,,2783.36108,1944.76196,1.818,417.504,0.65,,,,,,,0.149999942
health6,0.301577551,0.367510813,0.405679183,,2783.36108,1944.76196,1.327239043,417.504,0.65,,,,,,,0.149999942
health7,0.165,0.266,0.35,,2783.360745,1944.76196,1.3,417.504,0.65,,,,,,,0.14999996
hospitality1,1.039684743,1.367826471,0.95,,469.7421105,211.7067027,2.66920521,140.9227953,0.65,,,,,,,0.300000345
hospitality2,1.035952746,1.365339876,0.94812662,,469.9623057,211.9462851,2.667394233,140.9888523,0.65,,,,,,,0.300000342
hospitality3,0.83082517,1.228665264,0.845157095,,483.0257281,226.1598615,2.567854666,144.9077844,0.65,,,,,,,0.300000136
hospitality4,0.36957489,0.912440948,0.609888628,,514.8490463,261.6291991,2.328000769,154.4545431,0.65,,,,,,,0.299999668
hospitality5,0.317029971,0.653028779,0.504564037,,518.0180786,265.1940098,1.905704202,155.4052918,0.65,,,,,,,0.299999746
hospitality6,0.277458382,0.355391609,0.389422455,,519.8322519,267.2606763,1.406451088,155.9497323,0.65,,,,,,,0.300000109
hospitality7,0.154867914,0.229656163,0.35,,497.1880681,241.2133328,1.287317873,149.1564728,0.65,,,,,,,0.300000105
other1,1.166128211,1.286786171,0.928187764,,463.4519509,83.94059625,2.392961749,112.0243436,0.65,,,,,,,0.241717277
other2,1.168250475,1.288133699,0.927802805,,464.4232281,84.5696286,2.393110045,111.7630971,0.65,,,,,,,0.240649241
other3,1.222252879,1.318325334,0.894859273,,527.3378448,130.7343497,2.403565226,104.8792771,0.65,,,,,,,0.198884412
other4,1.152238724,1.271419115,0.845683141,,566.1700863,145.4482616,2.40820694,104.4637436,0.65,,,,,,,0.184509472
other5,1.158136025,1.255654026,0.831592835,,576.2755222,149.277309,2.352277596,104.3556081,0.65,,,,,,,0.18108631
other6,1.167770593,1.241639112,0.819369967,,584.8544919,152.5279618,2.29408611,104.2637957,0.65,,,,,,,0.178273053
other7,0.171365452,0.238312704,0.35,,497.9726503,122.6840544,1.23464676,102.4942588,0.65,,,,,,,0.205823068
